real_t,user_t,sys_t,algorithm,start_node,num_threads
0.76,6.88,0.95,synctile_parallel,0,28
0.77,6.74,0.96,synctile_parallel,0,28
0.76,6.88,0.96,synctile_parallel,0,28
1.01,8.58,0.97,synctile_parallel,0,28
0.77,6.67,0.98,synctile_parallel,0,28
0.87,9.59,0.96,synctile_parallel,798169,28
0.88,9.40,0.97,synctile_parallel,798169,28
0.87,9.75,0.91,synctile_parallel,798169,28
0.86,9.47,0.93,synctile_parallel,798169,28
0.85,9.48,0.93,synctile_parallel,798169,28
0.76,6.90,0.90,synctile_parallel,1,28
0.76,6.42,0.97,synctile_parallel,1,28
0.76,6.50,0.95,synctile_parallel,1,28
0.76,6.65,0.95,synctile_parallel,1,28
0.76,6.67,0.95,synctile_parallel,1,28
0.80,7.71,0.99,synctile_parallel,3297700,28
0.79,7.45,0.94,synctile_parallel,3297700,28
0.79,7.58,0.89,synctile_parallel,3297700,28
0.81,7.40,0.96,synctile_parallel,3297700,28
0.78,7.63,0.94,synctile_parallel,3297700,28
0.81,7.17,0.91,synctile_parallel,621114,28
0.98,8.24,0.96,synctile_parallel,621114,28
0.85,7.57,0.95,synctile_parallel,621114,28
0.78,6.45,0.92,synctile_parallel,621114,28
0.82,7.23,0.96,synctile_parallel,621114,28
0.76,6.84,0.92,synctile_parallel,5130123,28
0.79,6.52,0.87,synctile_parallel,5130123,28
0.79,6.38,0.95,synctile_parallel,5130123,28
0.76,6.57,0.92,synctile_parallel,5130123,28
0.79,6.86,0.89,synctile_parallel,5130123,28
0.81,7.56,0.91,synctile_parallel,729008,28
0.83,7.25,0.95,synctile_parallel,729008,28
0.83,7.32,0.90,synctile_parallel,729008,28
0.81,7.90,0.90,synctile_parallel,729008,28
0.83,7.60,0.96,synctile_parallel,729008,28
0.86,8.58,0.90,synctile_parallel,2238923,28
0.90,8.55,0.90,synctile_parallel,2238923,28
0.92,8.79,0.98,synctile_parallel,2238923,28
0.86,8.90,0.94,synctile_parallel,2238923,28
1.10,10.37,0.94,synctile_parallel,2238923,28
0.87,8.14,0.91,synctile_parallel,2813191,28
0.83,8.14,0.92,synctile_parallel,2813191,28
0.85,8.29,0.90,synctile_parallel,2813191,28
0.90,8.39,0.96,synctile_parallel,2813191,28
0.81,7.61,0.96,synctile_parallel,2813191,28
0.77,6.73,0.95,synctile_parallel,5139451,28
0.76,6.82,0.93,synctile_parallel,5139451,28
0.85,7.80,0.92,synctile_parallel,5139451,28
0.76,6.82,0.97,synctile_parallel,5139451,28
0.76,6.80,0.94,synctile_parallel,5139451,28
0.86,8.03,0.98,synctile_parallel,623711,28
0.84,7.83,0.96,synctile_parallel,623711,28
0.83,8.67,0.91,synctile_parallel,623711,28
0.83,8.29,0.95,synctile_parallel,623711,28
0.87,8.24,0.95,synctile_parallel,623711,28
0.85,7.87,0.95,synctile_parallel,3846729,28
0.74,6.60,0.95,synctile_parallel,3846729,28
1.04,8.23,0.94,synctile_parallel,3846729,28
0.76,6.73,0.93,synctile_parallel,3846729,28
0.80,7.01,0.92,synctile_parallel,3846729,28
0.77,6.85,0.94,synctile_parallel,2115892,28
0.79,6.99,0.95,synctile_parallel,2115892,28
0.84,7.44,0.92,synctile_parallel,2115892,28
0.83,7.37,0.94,synctile_parallel,2115892,28
0.84,7.73,0.97,synctile_parallel,2115892,28
0.88,8.81,0.93,synctile_parallel,2401982,28
0.85,7.49,0.99,synctile_parallel,2401982,28
0.82,7.25,0.97,synctile_parallel,2401982,28
0.86,7.89,0.98,synctile_parallel,2401982,28
0.79,7.02,0.94,synctile_parallel,2401982,28
0.79,7.67,0.93,synctile_parallel,1165019,28
0.84,8.44,0.96,synctile_parallel,1165019,28
0.83,8.89,0.94,synctile_parallel,1165019,28
0.85,8.55,0.91,synctile_parallel,1165019,28
0.90,8.81,0.95,synctile_parallel,1165019,28
0.89,7.46,0.96,synctile_parallel,3547082,28
0.85,7.27,0.94,synctile_parallel,3547082,28
0.79,6.73,0.92,synctile_parallel,3547082,28
0.78,6.94,0.97,synctile_parallel,3547082,28
0.80,6.75,0.92,synctile_parallel,3547082,28
0.76,6.46,0.91,synctile_parallel,1146842,28
0.80,7.56,0.92,synctile_parallel,1146842,28
0.88,8.02,0.94,synctile_parallel,1146842,28
0.81,6.84,0.94,synctile_parallel,1146842,28
0.87,7.65,1.00,synctile_parallel,1146842,28
0.81,7.15,0.94,synctile_parallel,6947984,28
0.84,7.62,0.94,synctile_parallel,6947984,28
0.82,7.41,0.92,synctile_parallel,6947984,28
0.81,6.83,1.00,synctile_parallel,6947984,28
0.82,7.24,0.95,synctile_parallel,6947984,28
0.90,8.86,0.93,synctile_parallel,6195361,28
0.86,7.93,0.98,synctile_parallel,6195361,28
0.96,9.18,0.99,synctile_parallel,6195361,28
0.84,8.41,0.94,synctile_parallel,6195361,28
0.80,7.80,0.93,synctile_parallel,6195361,28
0.76,6.76,0.95,synctile_parallel,7193114,28
0.78,6.62,0.96,synctile_parallel,7193114,28
0.93,8.61,0.97,synctile_parallel,7193114,28
0.83,7.24,0.97,synctile_parallel,7193114,28
0.86,7.70,0.94,synctile_parallel,7193114,28
0.90,8.96,0.96,synctile_parallel,7498750,28
0.92,8.40,0.98,synctile_parallel,7498750,28
0.90,8.52,0.99,synctile_parallel,7498750,28
0.91,8.38,0.92,synctile_parallel,7498750,28
0.82,7.31,0.93,synctile_parallel,7498750,28
0.79,7.09,0.92,synctile_parallel,1443308,28
0.83,7.05,0.98,synctile_parallel,1443308,28
0.81,7.20,1.02,synctile_parallel,1443308,28
0.79,7.25,0.97,synctile_parallel,1443308,28
0.78,7.28,0.95,synctile_parallel,1443308,28
1.05,9.85,0.96,synctile_parallel,4752902,28
0.86,8.43,0.96,synctile_parallel,4752902,28
0.84,8.63,0.93,synctile_parallel,4752902,28
0.84,8.46,0.94,synctile_parallel,4752902,28
0.85,8.55,0.97,synctile_parallel,4752902,28
