Real,User,Sys,Algorithm,Vertex_ID,Thread_Count
16.54,342.16,37.44,PARALLEL,0,192
11.19,348.52,37.53,PARALLEL,0,192
16.36,1116.70,41.00,PARALLEL,47722858,192,PARALLEL,0,192
11.16,349.21,37.41,PARALLEL,0,192
12.76,348.20,25.78,PARALLEL,1,192,PARALLEL,0,192
11.54,325.77,31.82,PARALLEL,1,192
16.72,498.55,42.92,PARALLEL,47722858,192,PARALLEL,1,192
10.69,325.80,30.84,PARALLEL,1,192
10.84,329.90,30.39,PARALLEL,1,192
15.96,1168.81,35.07,PARALLEL,40189725,192,PARALLEL,47722858,192
11.70,379.81,36.27,PARALLEL,40189725,192
15.06,711.98,46.04,PARALLEL,47722858,192,PARALLEL,40189725,192
11.12,370.79,35.83,PARALLEL,40189725,192
16.39,576.56,40.41,PARALLEL,47722858,192,PARALLEL,40189725,192
11.00,319.11,31.51,PARALLEL,64837505,192
17.00,367.03,31.73,PARALLEL,64837505,192,PARALLEL,47722858,192
11.02,321.46,31.14,PARALLEL,64837505,192
11.21,331.24,31.57,PARALLEL,64837505,192
10.92,310.71,30.03,PARALLEL,64837505,192
14.04,334.29,31.54,PARALLEL,1,192,PARALLEL,29215201,192
10.83,334.69,29.93,PARALLEL,1,192
14.35,363.93,32.28,PARALLEL,1,192,PARALLEL,29215201,192
10.66,351.11,29.98,PARALLEL,1,192
15.01,378.91,31.49,PARALLEL,1,192,PARALLEL,29215201,192
11.50,378.27,36.74,PARALLEL,40189725,192
12.09,390.87,35.67,PARALLEL,29215201,192
10.99,387.67,39.47,PARALLEL,40189725,192
11.73,404.17,37.48,PARALLEL,29215201,192
11.02,395.83,37.69,PARALLEL,40189725,192
12.03,383.89,39.76,PARALLEL,58599347,192
11.09,360.57,38.85,PARALLEL,40189725,192
11.82,376.05,39.43,PARALLEL,58599347,192
12.66,367.32,35.67,PARALLEL,40189725,192
15.53,381.24,38.74,PARALLEL,58599347,192,PARALLEL,64837505,192
11.34,325.99,30.81,PARALLEL,64837505,192
20.08,434.64,39.95,PARALLEL,58599347,192,PARALLEL,64837505,192
14.84,324.22,30.12,PARALLEL,64837505,192,PARALLEL,58599347,192,PARALLEL,64837505,192
15.30,376.27,37.79,PARALLEL,29215201,192,PARALLEL,56354851,192
17.00,957.88,34.01,PARALLEL,56354851,192,PARALLEL,29215201,192
11.19,348.54,32.64,PARALLEL,56354851,192
13.56,442.38,33.20,PARALLEL,56354851,192,PARALLEL,29215201,192
11.20,345.44,35.10,PARALLEL,56354851,192
16.16,920.19,31.57,PARALLEL,27461862,192,PARALLEL,29215201,192
10.74,335.59,30.88,PARALLEL,27461862,192
14.07,349.37,30.68,PARALLEL,27461862,192,PARALLEL,29215201,192
11.03,338.20,30.37,PARALLEL,27461862,192
14.59,370.87,31.54,PARALLEL,27461862,192,PARALLEL,58599347,192
11.44,379.18,38.76,PARALLEL,21800226,192
12.00,407.31,37.19,PARALLEL,58599347,192
11.46,383.74,37.73,PARALLEL,21800226,192
12.08,414.83,38.34,PARALLEL,58599347,192
11.49,393.84,39.39,PARALLEL,21800226,192
12.39,399.37,39.41,PARALLEL,58599347,192
11.53,379.29,37.73,PARALLEL,21800226,192
12.05,405.00,36.37,PARALLEL,58599347,192
11.51,393.09,37.88,PARALLEL,21800226,192
12.06,342.35,32.78,PARALLEL,56354851,192
14.30,410.08,39.25,PARALLEL,42931825,192,PARALLEL,56354851,192
11.23,341.19,32.84,PARALLEL,56354851,192
13.58,426.99,33.67,PARALLEL,56354851,192,PARALLEL,42931825,192
11.63,348.20,33.88,PARALLEL,56354851,192
16.78,347.68,31.12,PARALLEL,27461862,192,PARALLEL,42931825,192
11.49,343.17,31.22,PARALLEL,27461862,192
13.86,347.88,30.40,PARALLEL,27461862,192,PARALLEL,42931825,192
10.84,337.43,30.74,PARALLEL,27461862,192
11.05,325.99,31.15,PARALLEL,27461862,192
16.59,395.36,42.68,PARALLEL,42931825,192,PARALLEL,21800226,192
11.24,331.23,32.84,PARALLEL,66559344,192
12.34,342.27,34.30,PARALLEL,21800226,192
12.45,337.54,29.50,PARALLEL,66559344,192
11.18,336.97,32.39,PARALLEL,66559344,192
16.16,434.93,35.73,PARALLEL,21800226,192,PARALLEL,66559344,192
11.44,325.15,32.74,PARALLEL,66559344,192
12.55,349.59,35.54,PARALLEL,21800226,192
12.48,444.90,32.62,PARALLEL,26246448,192
12.99,386.27,35.07,PARALLEL,21800226,192,PARALLEL,26246448,192
15.99,640.32,37.90,PARALLEL,26246448,192,PARALLEL,42931825,192
11.75,353.06,38.39,PARALLEL,26246448,192
11.27,389.98,37.52,PARALLEL,42931825,192
12.02,372.49,37.71,PARALLEL,26246448,192
15.98,403.57,39.36,PARALLEL,42931825,192,PARALLEL,6524491,192
11.53,326.01,32.06,PARALLEL,6524491,192
12.53,362.83,35.28,PARALLEL,42931825,192
12.89,318.16,35.67,PARALLEL,6524491,192
11.19,332.71,32.26,PARALLEL,6524491,192
17.56,1431.22,39.67,PARALLEL,42931825,192,PARALLEL,6524491,192
11.21,361.73,38.24,PARALLEL,43205208,192
11.77,338.23,33.96,PARALLEL,66559344,192
14.03,376.37,40.27,PARALLEL,43205208,192,PARALLEL,66559344,192
11.11,335.62,31.55,PARALLEL,66559344,192
17.29,1004.92,40.88,PARALLEL,43205208,192,PARALLEL,66559344,192
11.35,326.49,31.91,PARALLEL,66559344,192
