Real,User,Sys,Algorithm,Tolerance,Thread_Count
94.58,10846.66,264.88,Async-Pull,0.0001,192
95.47,14485.99,306.60,Pull-Residual,0.0001,192
80.86,11797.64,308.05,Async-Pull,0.0001,192
100.29,14466.47,324.07,Pull-Residual,0.0001,192
81.06,11778.49,302.04,Async-Pull,0.0001,192
97.46,14479.27,301.26,Pull-Residual,0.0001,192
90.85,11199.05,269.70,Async-Pull,0.0001,192
96.39,14442.47,306.07,Pull-Residual,0.0001,192
80.87,11764.23,307.87,Async-Pull,0.0001,192
100.37,14472.19,305.70,Pull-Residual,0.0001,192
