Real,User,Sys,Algorithm,Vertex_ID,Thread_Count
12.03,183.96,8.34,PARALLEL,1,192,PARALLEL,44111,192
12.70,657.97,8.74,PARALLEL,1,192,PARALLEL,3198169,192
11.57,239.79,7.80,PARALLEL,1,192,PARALLEL,3198169,192
11.98,311.31,8.22,PARALLEL,1,192,PARALLEL,3198169,192
12.60,841.83,8.16,PARALLEL,1,192,PARALLEL,3198169,192
12.75,884.41,8.28,PARALLEL,10010,192,PARALLEL,3198169,192
12.43,540.92,8.51,PARALLEL,10010,192,PARALLEL,710371,192
12.30,429.61,8.62,PARALLEL,10010,192,PARALLEL,710371,192
12.98,902.08,8.10,PARALLEL,10010,192,PARALLEL,710371,192
11.80,222.76,8.18,PARALLEL,10010,192,PARALLEL,710371,192
11.77,177.62,7.72,PARALLEL,153,192,PARALLEL,710371,192
11.91,163.07,7.61,PARALLEL,153,192,PARALLEL,1535826,192
7.66,153.81,7.39,PARALLEL,153,192
11.77,204.17,8.14,PARALLEL,1535826,192,PARALLEL,153,192
12.35,182.44,7.88,PARALLEL,153,192,PARALLEL,1535826,192
11.84,180.83,7.80,PARALLEL,3878755,192,PARALLEL,1535826,192
11.62,181.90,7.67,PARALLEL,3878755,192,PARALLEL,1535826,192
12.18,180.12,8.14,PARALLEL,3878755,192,PARALLEL,1484355,192
11.80,181.27,8.16,PARALLEL,3878755,192,PARALLEL,1484355,192
11.92,189.48,8.07,PARALLEL,3878755,192,PARALLEL,1484355,192
12.29,187.77,8.05,PARALLEL,1174645,192,PARALLEL,1484355,192
11.79,185.23,8.20,PARALLEL,1174645,192,PARALLEL,1484355,192
11.68,176.73,9.04,PARALLEL,1174645,192,PARALLEL,3565353,192
11.88,172.68,8.31,PARALLEL,1174645,192,PARALLEL,3565353,192
11.82,169.49,7.79,PARALLEL,1174645,192,PARALLEL,3565353,192
11.94,186.20,7.62,PARALLEL,600745,192,PARALLEL,3565353,192
11.99,171.72,8.50,PARALLEL,600745,192,PARALLEL,3565353,192
11.72,178.92,7.95,PARALLEL,600745,192
11.90,185.33,8.12,PARALLEL,600745,192
12.24,171.01,8.10,PARALLEL,600745,192
12.19,475.20,8.46,PARALLEL,4288351,192
10.91,383.95,7.71,PARALLEL,4288351,192
10.84,253.26,8.17,PARALLEL,4288351,192
10.81,224.35,8.20,PARALLEL,4288351,192
7.99,176.43,7.65,PARALLEL,4288351,192
7.95,180.89,8.37,PARALLEL,420991,192
7.93,179.85,8.06,PARALLEL,420991,192
7.96,175.94,7.68,PARALLEL,420991,192
8.08,170.89,7.81,PARALLEL,420991,192
8.06,175.68,7.88,PARALLEL,420991,192
11.91,190.10,8.03,PARALLEL,2132105,192
10.76,274.82,9.11,PARALLEL,2132105,192
11.60,367.01,8.12,PARALLEL,2132105,192
11.76,185.60,7.57,PARALLEL,2132105,192
