Real,User,Sys,Algorithm,Vertex_ID,Thread_Count
11.84,196.48,8.97,PARALLEL,1,192,PARALLEL,1980615,192
12.03,370.91,9.50,PARALLEL,1,192,PARALLEL,1980615,192
12.78,196.83,7.96,PARALLEL,1,192,PARALLEL,1980615,192
12.14,192.60,8.72,PARALLEL,1980615,192,PARALLEL,1,192
12.22,194.72,8.76,PARALLEL,147643,192,PARALLEL,1,192
12.32,204.72,9.54,PARALLEL,147643,192,PARALLEL,43608,192
12.10,206.17,9.06,PARALLEL,147643,192,PARALLEL,43608,192
12.30,229.25,8.92,PARALLEL,147643,192,PARALLEL,43608,192
12.33,256.61,9.07,PARALLEL,147643,192,PARALLEL,43608,192
11.91,231.43,9.68,PARALLEL,1681536,192,PARALLEL,43608,192
12.26,185.33,9.45,PARALLEL,1681536,192,PARALLEL,12,192
11.78,179.99,9.26,PARALLEL,1681536,192,PARALLEL,12,192
11.99,200.50,9.06,PARALLEL,1681536,192,PARALLEL,12,192
12.05,204.49,9.02,PARALLEL,1681536,192,PARALLEL,12,192
12.51,535.76,9.06,PARALLEL,635768,192,PARALLEL,12,192
11.25,287.34,10.07,PARALLEL,497368,192,PARALLEL,635768,192
12.62,516.29,10.03,PARALLEL,497368,192,PARALLEL,635768,192
12.70,317.99,8.76,PARALLEL,497368,192,PARALLEL,635768,192
12.48,456.33,9.84,PARALLEL,497368,192,PARALLEL,635768,192
12.49,447.22,8.69,PARALLEL,497368,192,PARALLEL,2470987,192
13.34,185.36,8.48,PARALLEL,2470987,192,PARALLEL,1582349,192
11.30,335.93,9.32,PARALLEL,2470987,192,PARALLEL,1582349,192
12.23,195.01,8.98,PARALLEL,2470987,192,PARALLEL,1582349,192
12.11,194.16,9.98,PARALLEL,2470987,192,PARALLEL,1582349,192
11.99,185.47,9.41,PARALLEL,1463012,192,PARALLEL,1582349,192
13.61,735.72,10.39,PARALLEL,1463012,192,PARALLEL,1062019,192
12.16,193.17,9.98,PARALLEL,1463012,192,PARALLEL,1062019,192
12.13,186.75,9.38,PARALLEL,1463012,192,PARALLEL,1062019,192
12.05,186.44,9.00,PARALLEL,1463012,192,PARALLEL,1062019,192
16.79,1053.47,8.80,PARALLEL,1062019,192
8.04,173.57,9.19,PARALLEL,100699,192
13.26,169.56,8.59,PARALLEL,100699,192
12.33,192.96,9.76,PARALLEL,100699,192
12.06,202.98,9.84,PARALLEL,100699,192
12.04,190.06,9.01,PARALLEL,100699,192
12.20,193.96,8.37,PARALLEL,461048,192
8.34,186.60,8.95,PARALLEL,461048,192
10.89,312.65,8.67,PARALLEL,461048,192
14.40,214.74,9.74,PARALLEL,461048,192
11.04,240.58,9.46,PARALLEL,461048,192
10.81,197.86,9.13,PARALLEL,2674454,192
8.55,167.73,8.70,PARALLEL,2674454,192
12.35,203.80,9.23,PARALLEL,2674454,192
10.52,195.74,9.11,PARALLEL,2674454,192
12.19,181.57,10.37,PARALLEL,2674454,192
13.55,159.56,9.03,PARALLEL,2219465,192
14.01,182.33,9.07,PARALLEL,2219465,192
16.21,225.31,8.97,PARALLEL,2219465,192
11.13,206.87,9.10,PARALLEL,2219465,192
11.63,517.04,9.02,PARALLEL,2219465,192
11.54,402.75,8.53,PARALLEL,1321967,192
10.63,186.56,8.92,PARALLEL,1321967,192
10.70,218.49,9.34,PARALLEL,1321967,192
11.46,542.32,9.27,PARALLEL,1321967,192
11.77,668.40,9.39,PARALLEL,1321967,192
10.79,181.46,9.61,PARALLEL,1642667,192
11.47,284.58,9.63,PARALLEL,1642667,192
11.10,198.60,9.33,PARALLEL,1642667,192
12.26,760.15,9.14,PARALLEL,1642667,192
11.32,228.64,9.29,PARALLEL,1642667,192
11.10,194.42,9.24,PARALLEL,1657038,192
12.19,868.35,9.17,PARALLEL,1657038,192
11.49,402.82,9.86,PARALLEL,1657038,192
11.21,195.60,9.02,PARALLEL,1657038,192
11.22,232.27,9.34,PARALLEL,1657038,192
11.62,607.31,9.40,PARALLEL,269956,192
12.13,189.59,10.23,PARALLEL,269956,192
12.03,182.43,9.04,PARALLEL,269956,192
12.05,184.58,9.32,PARALLEL,269956,192
12.21,199.89,8.95,PARALLEL,269956,192
11.89,194.92,9.77,PARALLEL,796705,192
11.77,750.60,8.95,PARALLEL,796705,192
12.05,185.57,9.08,PARALLEL,796705,192
11.83,737.63,9.18,PARALLEL,796705,192
11.94,185.05,8.91,PARALLEL,796705,192
11.25,213.58,8.63,PARALLEL,21369,192
12.18,210.35,9.71,PARALLEL,21369,192
11.98,202.27,9.27,PARALLEL,21369,192
12.22,189.56,9.59,PARALLEL,21369,192
11.99,194.96,9.46,PARALLEL,21369,192
11.96,185.12,8.99,PARALLEL,731666,192
11.30,319.05,8.94,PARALLEL,731666,192
16.56,221.94,8.51,PARALLEL,731666,192
11.98,485.97,9.30,PARALLEL,731666,192
16.63,198.14,8.88,PARALLEL,731666,192
11.60,310.87,8.75,PARALLEL,1980615,192
11.47,292.98,8.95,PARALLEL,1980615,192
12.36,544.93,9.46,PARALLEL,1980615,192
11.40,284.04,8.72,PARALLEL,1980615,192
