Real,User,Sys,Algorithm,Vertex_ID,Thread_Count
12.36,166.38,6.62,PARALLEL,10113900,192,PARALLEL,1,192
11.60,167.27,6.97,PARALLEL,10113900,192,PARALLEL,1,192
11.76,171.01,7.44,PARALLEL,10113900,192,PARALLEL,1,192
11.71,172.47,7.78,PARALLEL,10113900,192,PARALLEL,1,192
11.84,215.57,7.32,PARALLEL,5971754,192,PARALLEL,1,192
11.37,171.69,7.30,PARALLEL,5971754,192,PARALLEL,3830518,192
11.52,170.24,7.14,PARALLEL,5971754,192,PARALLEL,3830518,192
11.39,173.27,7.33,PARALLEL,5971754,192,PARALLEL,3830518,192
11.67,172.42,7.46,PARALLEL,5971754,192,PARALLEL,3830518,192
11.62,174.59,7.13,PARALLEL,5267880,192,PARALLEL,3830518,192
11.76,171.92,7.19,PARALLEL,5267880,192,PARALLEL,1,192
11.85,178.19,8.16,PARALLEL,5267880,192,PARALLEL,1,192
11.64,175.82,7.18,PARALLEL,5267880,192,PARALLEL,1,192
11.64,171.59,7.95,PARALLEL,5267880,192,PARALLEL,1,192
15.02,271.52,7.16,PARALLEL,1,192
16.48,152.95,7.06,PARALLEL,5955443,192
10.46,284.16,7.52,PARALLEL,5955443,192
11.07,175.80,7.14,PARALLEL,5955443,192
11.34,168.90,7.72,PARALLEL,5955443,192
10.90,167.96,7.90,PARALLEL,5955443,192
11.26,173.41,7.20,PARALLEL,1407122,192
7.67,155.44,6.97,PARALLEL,1407122,192
7.61,166.84,6.76,PARALLEL,1407122,192
7.76,158.75,6.86,PARALLEL,1407122,192
12.25,188.70,7.35,PARALLEL,1407122,192
11.25,244.58,7.42,PARALLEL,10343923,192
10.46,248.00,7.71,PARALLEL,10343923,192
12.60,207.68,8.46,PARALLEL,10343923,192
11.03,243.59,7.37,PARALLEL,10343923,192
12.61,186.48,8.03,PARALLEL,10343923,192
12.03,302.38,6.93,PARALLEL,4015603,192
12.32,177.67,7.25,PARALLEL,4015603,192
11.70,174.05,7.77,PARALLEL,4015603,192
12.42,214.73,7.44,PARALLEL,4015603,192
11.46,161.32,7.33,PARALLEL,4015603,192
11.34,166.76,6.95,PARALLEL,6116132,192
11.54,164.89,7.22,PARALLEL,6116132,192
