Real,User,Sys,Algorithm,Vertex_ID,Thread_Count
10.62,162.01,8.25,SERIAL,10113900,192,SERIAL,1,192
11.74,169.19,6.96,SERIAL,10113900,192,SERIAL,1,192
11.79,168.26,7.43,SERIAL,10113900,192,SERIAL,1,192
11.78,169.65,7.64,SERIAL,10113900,192,SERIAL,1,192
11.67,171.33,7.14,SERIAL,5971754,192,SERIAL,1,192
11.52,175.49,7.28,SERIAL,5971754,192,SERIAL,3830518,192
11.59,175.60,7.51,SERIAL,5971754,192,SERIAL,3830518,192
11.72,173.48,7.43,SERIAL,5971754,192,SERIAL,3830518,192
12.01,164.92,7.21,SERIAL,5971754,192,SERIAL,3830518,192
11.41,172.78,7.44,SERIAL,5267880,192,SERIAL,3830518,192
11.57,176.36,7.75,SERIAL,5267880,192,SERIAL,1,192
11.61,172.89,7.83,SERIAL,5267880,192,SERIAL,1,192
11.80,175.02,7.85,SERIAL,5267880,192,SERIAL,1,192
11.47,173.37,7.96,SERIAL,5267880,192,SERIAL,1,192
11.53,176.68,7.34,SERIAL,1,192
9.99,160.06,8.85,SERIAL,5955443,192
15.83,140.76,7.11,SERIAL,5955443,192
15.69,142.35,7.55,SERIAL,5955443,192
16.18,191.63,7.42,SERIAL,5955443,192
15.64,150.14,6.60,SERIAL,5955443,192
15.58,153.30,6.96,SERIAL,1407122,192
7.57,155.33,6.90,SERIAL,1407122,192
7.75,153.26,6.77,SERIAL,1407122,192
15.99,156.37,7.78,SERIAL,1407122,192
9.56,179.12,7.38,SERIAL,1407122,192
11.43,171.83,7.77,SERIAL,10343923,192
11.20,172.97,7.14,SERIAL,10343923,192
11.70,167.10,7.36,SERIAL,10343923,192
10.79,166.85,7.41,SERIAL,10343923,192
11.56,170.86,7.22,SERIAL,10343923,192
11.47,173.73,7.46,SERIAL,4015603,192
11.56,167.75,6.73,SERIAL,4015603,192
11.30,170.80,7.90,SERIAL,4015603,192
11.67,162.20,7.19,SERIAL,4015603,192
11.44,157.92,7.41,SERIAL,4015603,192
11.49,158.41,7.70,SERIAL,6116132,192
