Real,User,Sys,Algorithm,Tolerance,Thread_Count
33.80,4025.41,10.85,Push-Async,0.0001,192
ERROR: failed to converge in 1000 iterations
17.15,238.71,10.24,Push-Sync,0.0001,192
30.78,3960.87,9.24,Push-Async,0.0001,192
ERROR: failed to converge in 1000 iterations
17.88,289.88,9.88,Push-Sync,0.0001,192
31.46,4297.94,9.03,Push-Async,0.0001,192
ERROR: failed to converge in 1000 iterations
17.60,298.11,11.51,Push-Sync,0.0001,192
31.64,3882.47,9.61,Push-Async,0.0001,192
ERROR: failed to converge in 1000 iterations
17.76,511.54,10.55,Push-Sync,0.0001,192
31.61,4389.20,8.20,Push-Async,0.0001,192
ERROR: failed to converge in 1000 iterations
13.68,382.28,10.26,Push-Sync,0.0001,192
