Real,User,Sys,Algorithm,Vertex_ID,Thread_Count
11.57,173.55,8.29,PARALLEL,1,192,PARALLEL,6746789,192
11.58,163.12,8.39,PARALLEL,1,192,PARALLEL,6746789,192
11.87,188.82,9.36,PARALLEL,1,192,PARALLEL,19132098,192
11.81,175.20,8.40,PARALLEL,1,192,PARALLEL,19132098,192
11.74,161.93,8.00,PARALLEL,1,192,PARALLEL,19132098,192
11.53,163.36,8.71,PARALLEL,17644256,192,PARALLEL,19132098,192
11.65,168.13,8.58,PARALLEL,17644256,192,PARALLEL,19132098,192
11.85,188.41,8.74,PARALLEL,17644256,192,PARALLEL,22500008,192
11.92,180.16,8.67,PARALLEL,17644256,192,PARALLEL,22500008,192
11.79,184.87,8.56,PARALLEL,17644256,192,PARALLEL,22500008,192
11.67,179.22,8.93,PARALLEL,1,192,PARALLEL,22500008,192
11.77,197.97,8.01,PARALLEL,1,192,PARALLEL,22500008,192
11.81,178.90,8.38,PARALLEL,1,192,PARALLEL,3438212,192
11.69,157.24,9.08,PARALLEL,1,192,PARALLEL,3438212,192
11.64,168.20,7.57,PARALLEL,1,192,PARALLEL,3438212,192
11.93,167.81,8.88,PARALLEL,4695308,192,PARALLEL,3438212,192
11.55,163.07,8.74,PARALLEL,4695308,192,PARALLEL,3438212,192
11.58,164.74,8.10,PARALLEL,4695308,192
10.54,168.01,8.27,PARALLEL,4695308,192
12.87,178.45,8.35,PARALLEL,4695308,192
7.97,166.76,7.89,PARALLEL,1556663,192
11.67,173.52,7.88,PARALLEL,1556663,192
16.02,156.14,7.98,PARALLEL,1556663,192
10.40,173.21,8.09,PARALLEL,1556663,192
16.15,144.46,8.64,PARALLEL,1556663,192
10.54,165.58,8.01,PARALLEL,11341106,192
6.72,166.34,8.51,PARALLEL,11341106,192
6.65,164.42,8.40,PARALLEL,11341106,192
6.75,162.05,8.65,PARALLEL,11341106,192
6.68,159.14,8.87,PARALLEL,11341106,192
6.65,167.91,8.13,PARALLEL,5037423,192
6.73,163.89,9.09,PARALLEL,5037423,192
6.92,164.16,8.55,PARALLEL,5037423,192
6.69,166.58,8.49,PARALLEL,5037423,192
6.64,167.33,8.05,PARALLEL,5037423,192
6.71,168.91,8.77,PARALLEL,16572421,192
6.72,166.12,8.41,PARALLEL,16572421,192
6.68,169.98,8.21,PARALLEL,16572421,192
6.70,170.87,8.32,PARALLEL,16572421,192
6.62,168.02,8.91,PARALLEL,16572421,192
6.63,162.75,8.34,PARALLEL,22729509,192
6.69,167.32,8.79,PARALLEL,22729509,192
6.66,163.91,8.37,PARALLEL,22729509,192
6.67,168.20,8.50,PARALLEL,22729509,192
6.68,161.77,8.67,PARALLEL,22729509,192
6.67,165.70,8.65,PARALLEL,19098751,192
6.70,163.80,8.54,PARALLEL,19098751,192
6.72,167.89,8.33,PARALLEL,19098751,192
6.70,162.72,8.41,PARALLEL,19098751,192
6.68,163.31,7.88,PARALLEL,19098751,192
6.57,169.26,8.28,PARALLEL,10955122,192
6.60,162.64,8.91,PARALLEL,10955122,192
6.64,158.03,8.09,PARALLEL,10955122,192
6.70,160.26,8.66,PARALLEL,10955122,192
6.68,160.54,8.80,PARALLEL,10955122,192
6.70,169.19,8.40,PARALLEL,11929062,192
6.64,164.49,8.89,PARALLEL,11929062,192
6.64,161.49,8.00,PARALLEL,11929062,192
