Read Time:           11.07198
Build Time:          0.29157
Graph has 3072627 nodes and 117185083 directed edges for degree: 38
Source:              2638931
    i                0.00202
   td         12     0.00548
   td         61     0.00008
   td        522     0.00010
   td       2760     0.00023
   td      10960     0.00038
   td      24574     0.00074
   td      31523     0.00101
   td      24438     0.00098
   td      15162     0.00073
   td       8475     0.00050
   td       5295     0.00032
   td       4597     0.00023
   td       4435     0.00023
   td       3588     0.00019
   td       2630     0.00018
   td       1899     0.00015
   td       1489     0.00013
   td       1134     0.00011
   td        770     0.00010
   td        502     0.00009
   td        320     0.00008
   td        219     0.00008
   td        116     0.00007
   td         65     0.00007
   td         51     0.00007
   td         32     0.00007
   td         22     0.00007
   td         13     0.00006
   td         11     0.00006
   td          8     0.00006
   td          5     0.00006
   td          0     0.00006
Trial Time:          0.01580
Source:               404578
    i                0.00034
   td         50     0.00006
   td       1760     0.00013
   td      16664     0.00043
   td     217632     0.00274
    e                0.00080
   bu    1251359     0.00881
   bu     681686     0.00401
   bu     120345     0.00250
    c                0.00022
   td      47886     0.00219
   td      22561     0.00111
   td      11439     0.00056
   td       6658     0.00034
   td       4329     0.00021
   td       3152     0.00019
   td       2239     0.00016
   td       1701     0.00015
   td       1151     0.00013
   td        775     0.00011
   td        529     0.00010
   td        403     0.00009
   td        259     0.00009
   td        138     0.00007
   td         96     0.00006
   td         56     0.00006
   td         26     0.00005
   td          4     0.00005
   td          1     0.00004
   td          0     0.00005
Trial Time:          0.02634
Source:              2403916
    i                0.00040
   td          4     0.00004
   td         20     0.00005
   td         97     0.00005
   td        279     0.00006
   td        585     0.00007
   td       1102     0.00008
   td       2172     0.00009
   td       4544     0.00012
   td       8744     0.00017
   td      13893     0.00020
   td      20701     0.00020
   td      32711     0.00025
   td      38322     0.00029
   td      33785     0.00029
   td      25389     0.00026
   td      17921     0.00022
   td      12258     0.00022
   td       8948     0.00020
   td       6585     0.00018
   td       5077     0.00016
   td       4057     0.00014
   td       3248     0.00012
   td       2753     0.00012
   td       2127     0.00011
   td       1709     0.00011
   td       1380     0.00010
   td       1112     0.00009
   td        738     0.00008
   td        521     0.00008
   td        412     0.00008
   td        389     0.00008
   td        376     0.00009
   td        372     0.00008
   td        335     0.00008
   td        318     0.00008
   td        273     0.00007
   td        273     0.00006
   td        194     0.00006
   td        104     0.00006
   td         80     0.00005
   td         38     0.00005
   td         33     0.00005
   td         46     0.00005
   td         22     0.00005
   td         21     0.00005
   td          4     0.00005
   td          4     0.00004
   td         10     0.00004
   td          4     0.00005
   td          1     0.00004
   td          0     0.00004
Trial Time:          0.00626
Source:               103525
    i                0.00010
   td         98     0.00005
   td       5367     0.00011
   td     172205     0.00064
    e                0.00020
   bu    1424536     0.00723
   bu    1158077     0.00441
   bu      84379     0.00166
    c                0.00024
   td      13008     0.00150
   td       4047     0.00060
   td       1655     0.00023
   td        801     0.00018
   td        407     0.00012
   td        251     0.00010
   td        124     0.00009
   td         51     0.00007
   td         28     0.00006
   td          8     0.00006
   td          3     0.00005
   td          4     0.00005
   td          1     0.00005
   td          0     0.00005
Trial Time:          0.01813
Source:              2109138
    i                0.00026
   td         25     0.00004
   td        202     0.00005
   td       1883     0.00010
   td      11140     0.00022
   td      46660     0.00030
   td      88431     0.00046
   td      81764     0.00062
   td      70010     0.00058
   td      75225     0.00047
   td      74271     0.00045
   td      60596     0.00045
   td      46127     0.00042
   td      33545     0.00033
   td      23525     0.00030
   td      15746     0.00023
   td      10637     0.00020
   td       7242     0.00018
   td       5150     0.00015
   td       3368     0.00013
   td       2353     0.00011
   td       1552     0.00010
   td        973     0.00009
   td        591     0.00008
   td        305     0.00007
   td        171     0.00006
   td        110     0.00007
   td         36     0.00005
   td         13     0.00005
   td          5     0.00004
   td          1     0.00004
   td          0     0.00004
Trial Time:          0.00753
Average Time:        0.01481
