Read Time:           1.63841
Build Time:          0.09780
Graph has 11950758 nodes and 12711603 directed edges for degree: 1
    0          1     0.03150
  187          1     0.00833
  333          1     0.03218
  419          1     0.05514
  507          1     0.03660
  556          1     0.03929
  702          1     0.04784
  796          1     0.03540
 1033          1     0.02157
 1074          1     0.04299
 1307          1     0.05685
 1333          1     0.03610
 1537          1     0.05169
 1733          1     0.04777
 1741          1     0.02700
 1780          1     0.04462
 1882          1     0.03853
 2051          1     0.02779
 2147          1     0.04925
 2343          1     0.04091
 2596          1     0.04495
 2819          1     0.00813
 2890          1     0.01649
 2980          1     0.04727
 3112          1     0.04659
 3345          1     0.02010
 3388          1     0.05482
 3434          1     0.02890
 3537          1     0.04919
 3706          1     0.07062
 3896          1     0.05746
 3900          1     0.05928
 3943          1     0.05359
 4166          1     0.04569
 4203          1     0.04946
 4242          1     0.07878
 4300          1     0.06600
 4515          1     0.06750
 4555          1     0.06444
 4723          1     0.01361
 4947          1     0.06894
 5117          1     0.06626
 5139          1     0.07625
 5191          1     0.07509
 5375          1     0.07476
 5551          1     0.00912
 5666          1     0.06566
 5885          1     0.01382
 5987          1     0.07818
 6151          1     0.09239
 6228          1     0.03210
 6322          1     0.07341
 6532          1     0.11269
 6702          1     0.06885
 6811          1     0.07053
 7048          1     0.10040
 7112          1     0.08546
 7282          1     0.08881
 7479          1     0.09746
 7678          1     0.10312
 7776          1     0.07855
 7899          1     0.06525
 8062          1     0.00777
 8273          1     0.06603
 8274          1     0.03414
 8375          1     0.10748
 8549          1     0.07209
 8576          1     0.01953
 8812          1     0.09126
 9013          1     0.01837
 9111          1     0.09394
 9156          1     0.02376
 9293          1     0.08161
 9317          1     0.14562
 9433          1     0.01203
 9555          1     0.11357
 9562          1     0.01254
 9641          1     0.12323
 9847          1     0.00594
 9865          1     0.12466
 9871          1     0.10165
10070          1     0.12921
10204          1     0.01103
10364          1     0.12803
10471          1     0.13879
10490          1     0.01122
10559          1     0.00871
10565          1     0.00833
10588          1     0.13402
10831          1     0.14388
10982          1     0.14039
11065          1     0.13564
11196          1     0.16039
11338          1     0.11748
11349          1     0.15055
11376          1     0.00479
11386          1     0.13276
11567          1     0.01627
11732          1     0.11089
11962          1     0.02037
12018          1     0.29500
12197          1     0.13404
12211          1     0.00992
12253          1     0.14583
12467          1     0.01237
12518          1     0.00988
12725          1     0.01894
12778          1     0.12021
12826          1     0.00388
12842          1     0.13641
12931          1     0.14724
13044          1     0.02227
13275          1     0.00813
13305          1     0.14829
13364          1     0.17366
13383          1     0.01181
13531          1     0.02899
13609          1     0.16336
13822          1     0.12959
13906          1     0.01948
14017          1     0.13652
14126          1     0.15608
14203          1     0.01965
14205          1     0.03578
14453          1     0.02069
14510          1     0.16201
14585          1     0.01788
14687          1     0.13382
14776          1     0.00605
14949          1     0.02982
14987          1     0.13991
15028          1     0.01791
15190          1     0.13913
15284          1     0.02189
15414          1     0.00945
15560          1     0.00736
15593          1     0.00542
took 137 iterations
Trial Time:          0.01207
    0          1     0.00840
   73          1     0.00553
  193          1     0.00494
  295          1     0.00540
  347          1     0.00534
  361          1     0.00468
  367          1     0.00492
  556          1     0.00402
  679          1     0.00723
  699          1     0.00797
  710          1     0.00504
  841          1     0.00485
 1023          1     0.00565
 1237          1     0.00719
 1270          1     0.00744
 1461          1     0.00662
 1612          1     0.00769
 1816          1     0.00837
 1998          1     0.00864
 2208          1     0.00692
 2381          1     0.01285
 2483          1     0.01031
 2702          1     0.00850
 2932          1     0.00876
 3115          1     0.01027
 3353          1     0.01510
 3530          1     0.01116
 3545          1     0.00811
 3553          1     0.00954
 3619          1     0.01033
 3700          1     0.00959
 3919          1     0.00772
 4087          1     0.02293
 4224          1     0.00439
 4283          1     0.02749
 4498          1     0.00973
 4502          1     0.01096
 4631          1     0.00463
took 38 iterations
Trial Time:          0.00282
    0          1     0.00626
  236          1     0.00470
  245          1     0.00495
  374          1     0.00595
  566          1     0.00490
  583          1     0.00500
  614          1     0.00457
  847          1     0.00470
 1021          1     0.00556
 1153          1     0.00478
 1269          1     0.00634
 1418          1     0.00793
 1597          1     0.00412
 1825          1     0.00575
 1854          1     0.00745
 1970          1     0.00530
 2145          1     0.00665
 2217          1     0.00797
 2371          1     0.00763
 2488          1     0.00873
 2742          1     0.00838
 2845          1     0.00824
 2927          1     0.00488
 3082          1     0.00674
 3215          1     0.00779
 3275          1     0.00847
 3459          1     0.01037
 3545          1     0.01000
 3678          1     0.00907
 3773          1     0.01683
 3910          1     0.01024
 3919          1     0.00687
 3982          1     0.01102
 4237          1     0.00737
 4339          1     0.00991
 4395          1     0.00933
 4597          1     0.00525
 4734          1     0.01190
 4888          1     0.01468
 5015          1     0.00945
 5110          1     0.01300
 5269          1     0.01042
 5274          1     0.01238
 5349          1     0.01841
 5538          1     0.01399
 5750          1     0.00886
 5956          1     0.01313
 5968          1     0.00774
 6211          1     0.00630
 6290          1     0.01413
 6329          1     0.02033
 6398          1     0.02206
 6504          1     0.00657
 6535          1     0.01419
 6646          1     0.00370
 6699          1     0.01395
 6758          1     0.00333
 7008          1     0.01636
 7248          1     0.02230
 7453          1     0.01319
 7586          1     0.00452
 7810          1     0.01668
 7961          1     0.00504
 8214          1     0.00517
 8239          1     0.02677
 8386          1     0.02671
 8540          1     0.03032
 8572          1     0.02565
 8704          1     0.01880
 8783          1     0.03286
 9004          1     0.02646
 9006          1     0.01083
 9255          1     0.02190
 9345          1     0.04337
 9439          1     0.05612
 9487          1     0.05739
 9509          1     0.02444
 9727          1     0.03653
 9830          1     0.02502
 9912          1     0.02404
