dataset_name, benchmark_name, cores, threads, time(s)
graph500_23, sssp, 192, 2, 0.004489
graph500_23, sssp, 192, 2, 0.00311
graph500_23, sssp, 192, 2, 0.003039
graph500_23, sssp, 192, 2, 0.002815
graph500_23, sssp, 192, 2, 0.002853
graph500_23, sssp, 192, 2, 0.002835
graph500_23, sssp, 192, 2, 0.014903
graph500_23, sssp, 192, 2, 0.002711
graph500_23, sssp, 192, 2, 0.002709
graph500_23, sssp, 192, 2, 0.002654
graph500_23, sssp, 192, 2, 0.002604
graph500_23, sssp, 192, 2, 0.002638
graph500_23, sssp, 192, 2, 0.012652
graph500_23, sssp, 192, 2, 0.002765
graph500_23, sssp, 192, 2, 0.002461
graph500_23, sssp, 192, 2, 0.002515
graph500_23, sssp, 192, 2, 0.002708
graph500_23, sssp, 192, 2, 0.002434
graph500_23, sssp, 192, 2, 0.015045
graph500_23, sssp, 192, 2, 0.002622
graph500_23, sssp, 192, 2, 0.002732
graph500_23, sssp, 192, 2, 0.002335
graph500_23, sssp, 192, 2, 0.002648
graph500_23, sssp, 192, 2, 0.002301
graph500_23, sssp, 192, 2, 0.004033
graph500_23, sssp, 192, 2, 0.002544
graph500_23, sssp, 192, 2, 0.002508
graph500_23, sssp, 192, 2, 0.002284
graph500_23, sssp, 192, 2, 0.00244
graph500_23, sssp, 192, 2, 0.00228
graph500_23, sssp, 192, 2, 0.005977
graph500_23, sssp, 192, 2, 0.002843
graph500_23, sssp, 192, 2, 0.002713
graph500_23, sssp, 192, 2, 0.00662
graph500_23, sssp, 192, 2, 0.002569
graph500_23, sssp, 192, 2, 0.002674
graph500_23, sssp, 192, 2, 0.003873
graph500_23, sssp, 192, 2, 0.002648
graph500_23, sssp, 192, 2, 0.002606
graph500_23, sssp, 192, 2, 0.002586
graph500_23, sssp, 192, 2, 0.002651
graph500_23, sssp, 192, 2, 0.002702
graph500_23, sssp, 192, 2, 0.003797
graph500_23, sssp, 192, 2, 0.002747
graph500_23, sssp, 192, 2, 0.002583
graph500_23, sssp, 192, 2, 0.002489
graph500_23, sssp, 192, 2, 0.002264
graph500_23, sssp, 192, 2, 0.002547
graph500_23, sssp, 192, 2, 0.005528
graph500_23, sssp, 192, 2, 0.002515
graph500_23, sssp, 192, 2, 0.002698
graph500_23, sssp, 192, 2, 0.002412
graph500_23, sssp, 192, 2, 0.002481
graph500_23, sssp, 192, 2, 0.002528
graph500_23, sssp, 192, 2, 0.003869
graph500_23, sssp, 192, 2, 0.00283
graph500_23, sssp, 192, 2, 0.002402
graph500_23, sssp, 192, 2, 0.002353
graph500_23, sssp, 192, 2, 0.002552
graph500_23, sssp, 192, 2, 0.002716
graph500_23, sssp, 192, 2, 0.013802
graph500_23, sssp, 192, 2, 0.005262
graph500_23, sssp, 192, 2, 0.004968
graph500_23, sssp, 192, 2, 0.01394
graph500_23, sssp, 192, 2, 0.002737
graph500_23, sssp, 192, 2, 0.002801
graph500_23, sssp, 192, 2, 0.004498
graph500_23, sssp, 192, 2, 0.002995
graph500_23, sssp, 192, 2, 0.002798
graph500_23, sssp, 192, 2, 0.002801
graph500_23, sssp, 192, 2, 0.002733
graph500_23, sssp, 192, 2, 0.002833
graph500_23, sssp, 192, 2, 0.005684
graph500_23, sssp, 192, 2, 0.002448
graph500_23, sssp, 192, 2, 0.002581
graph500_23, sssp, 192, 2, 0.002544
graph500_23, sssp, 192, 2, 0.002556
graph500_23, sssp, 192, 2, 0.00249
graph500_23, sssp, 192, 2, 0.003907
graph500_23, sssp, 192, 2, 0.002696
graph500_23, sssp, 192, 2, 0.002396
graph500_23, sssp, 192, 2, 0.002485
graph500_23, sssp, 192, 2, 0.002405
graph500_23, sssp, 192, 2, 0.002808
graph500_23, sssp, 192, 2, 0.015536
graph500_23, sssp, 192, 2, 0.005881
graph500_23, sssp, 192, 2, 0.003082
graph500_23, sssp, 192, 2, 0.00291
graph500_23, sssp, 192, 2, 0.002773
graph500_23, sssp, 192, 2, 0.003049
graph500_23, sssp, 192, 2, 0.004035
graph500_23, sssp, 192, 2, 0.00306
graph500_23, sssp, 192, 2, 0.002647
graph500_23, sssp, 192, 2, 0.002638
graph500_23, sssp, 192, 2, 0.002634
graph500_23, sssp, 192, 2, 0.002769
graph500_23, sssp, 192, 2, 0.0037
graph500_23, sssp, 192, 2, 0.002693
graph500_23, sssp, 192, 2, 0.002431
graph500_23, sssp, 192, 2, 0.002297
graph500_23, sssp, 192, 2, 0.002571
graph500_23, sssp, 192, 2, 0.002715
graph500_23, sssp, 192, 2, 0.006616
graph500_23, sssp, 192, 2, 0.002938
