dataset_name, benchmark_name, cores, threads, time(s)
graph500_26, bfs, 192, 2, 0.016493
graph500_26, bfs, 192, 2, 0.01062
graph500_26, bfs, 192, 2, 0.01041
graph500_26, bfs, 192, 2, 0.010076
graph500_26, bfs, 192, 2, 0.010475
graph500_26, bfs, 192, 2, 0.01135
graph500_26, bfs, 192, 2, 0.025222
graph500_26, bfs, 192, 2, 0.013307
graph500_26, bfs, 192, 2, 0.010165
graph500_26, bfs, 192, 2, 0.010374
graph500_26, bfs, 192, 2, 0.009887
graph500_26, bfs, 192, 2, 0.01104
graph500_26, bfs, 192, 2, 0.013996
graph500_26, bfs, 192, 2, 0.010367
graph500_26, bfs, 192, 2, 0.010111
graph500_26, bfs, 192, 2, 0.010226
graph500_26, bfs, 192, 2, 0.01027
graph500_26, bfs, 192, 2, 0.011354
graph500_26, bfs, 192, 2, 0.024827
graph500_26, bfs, 192, 2, 0.012607
graph500_26, bfs, 192, 2, 0.00987
graph500_26, bfs, 192, 2, 0.010093
graph500_26, bfs, 192, 2, 0.01002
graph500_26, bfs, 192, 2, 0.01099
graph500_26, bfs, 192, 2, 0.014963
graph500_26, bfs, 192, 2, 0.010721
graph500_26, bfs, 192, 2, 0.010765
graph500_26, bfs, 192, 2, 0.0122
graph500_26, bfs, 192, 2, 0.01063
graph500_26, bfs, 192, 2, 0.012536
graph500_26, bfs, 192, 2, 0.014503
graph500_26, bfs, 192, 2, 0.010746
graph500_26, bfs, 192, 2, 0.01075
graph500_26, bfs, 192, 2, 0.010541
graph500_26, bfs, 192, 2, 0.01037
graph500_26, bfs, 192, 2, 0.011471
graph500_26, bfs, 192, 2, 0.014814
graph500_26, bfs, 192, 2, 0.012154
graph500_26, bfs, 192, 2, 0.011038
graph500_26, bfs, 192, 2, 0.012125
graph500_26, bfs, 192, 2, 0.010733
graph500_26, bfs, 192, 2, 0.012788
graph500_26, bfs, 192, 2, 0.017189
graph500_26, bfs, 192, 2, 0.011175
graph500_26, bfs, 192, 2, 0.01023
graph500_26, bfs, 192, 2, 0.010224
graph500_26, bfs, 192, 2, 0.010127
graph500_26, bfs, 192, 2, 0.011038
graph500_26, bfs, 192, 2, 0.026317
graph500_26, bfs, 192, 2, 0.013637
graph500_26, bfs, 192, 2, 0.01105
graph500_26, bfs, 192, 2, 0.012054
graph500_26, bfs, 192, 2, 0.011029
graph500_26, bfs, 192, 2, 0.012579
graph500_26, bfs, 192, 2, 0.025427
graph500_26, bfs, 192, 2, 0.01292
graph500_26, bfs, 192, 2, 0.010346
graph500_26, bfs, 192, 2, 0.010296
graph500_26, bfs, 192, 2, 0.009971
graph500_26, bfs, 192, 2, 0.01085
graph500_26, bfs, 192, 2, 0.014252
graph500_26, bfs, 192, 2, 0.010445
graph500_26, bfs, 192, 2, 0.010384
graph500_26, bfs, 192, 2, 0.010468
graph500_26, bfs, 192, 2, 0.010611
graph500_26, bfs, 192, 2, 0.010887
graph500_26, bfs, 192, 2, 0.015809
graph500_26, bfs, 192, 2, 0.014134
graph500_26, bfs, 192, 2, 0.012126
graph500_26, bfs, 192, 2, 0.014469
graph500_26, bfs, 192, 2, 0.011669
graph500_26, bfs, 192, 2, 0.014249
graph500_26, bfs, 192, 2, 0.01426
graph500_26, bfs, 192, 2, 0.011175
graph500_26, bfs, 192, 2, 0.010451
graph500_26, bfs, 192, 2, 0.011575
graph500_26, bfs, 192, 2, 0.010299
graph500_26, bfs, 192, 2, 0.011462
graph500_26, bfs, 192, 2, 0.015207
graph500_26, bfs, 192, 2, 0.010198
graph500_26, bfs, 192, 2, 0.010385
graph500_26, bfs, 192, 2, 0.011038
graph500_26, bfs, 192, 2, 0.010279
graph500_26, bfs, 192, 2, 0.011305
graph500_26, bfs, 192, 2, 0.016265
graph500_26, bfs, 192, 2, 0.011342
graph500_26, bfs, 192, 2, 0.01009
graph500_26, bfs, 192, 2, 0.011457
graph500_26, bfs, 192, 2, 0.010343
graph500_26, bfs, 192, 2, 0.011524
graph500_26, bfs, 192, 2, 0.01408
graph500_26, bfs, 192, 2, 0.010281
graph500_26, bfs, 192, 2, 0.010268
graph500_26, bfs, 192, 2, 0.010353
graph500_26, bfs, 192, 2, 0.010254
graph500_26, bfs, 192, 2, 0.011074
graph500_26, bfs, 192, 2, 0.020136
graph500_26, bfs, 192, 2, 0.013597
graph500_26, bfs, 192, 2, 0.011572
graph500_26, bfs, 192, 2, 0.013009
graph500_26, bfs, 192, 2, 0.011515
graph500_26, bfs, 192, 2, 0.013613
graph500_26, bfs, 192, 2, 0.020668
graph500_26, bfs, 192, 2, 0.012645
graph500_26, bfs, 192, 2, 0.011078
graph500_26, bfs, 192, 2, 0.012739
graph500_26, bfs, 192, 2, 0.010964
graph500_26, bfs, 192, 2, 0.012987
graph500_26, bfs, 192, 2, 0.014828
graph500_26, bfs, 192, 2, 0.010694
graph500_26, bfs, 192, 2, 0.011054
graph500_26, bfs, 192, 2, 0.012295
graph500_26, bfs, 192, 2, 0.010858
graph500_26, bfs, 192, 2, 0.012748
graph500_26, bfs, 192, 2, 0.015722
graph500_26, bfs, 192, 2, 0.013295
graph500_26, bfs, 192, 2, 0.011708
graph500_26, bfs, 192, 2, 0.013415
graph500_26, bfs, 192, 2, 0.011704
graph500_26, bfs, 192, 2, 0.013431
graph500_26, bfs, 192, 2, 0.025581
graph500_26, bfs, 192, 2, 0.013669
graph500_26, bfs, 192, 2, 0.010965
graph500_26, bfs, 192, 2, 0.012668
graph500_26, bfs, 192, 2, 0.010949
graph500_26, bfs, 192, 2, 0.01239
graph500_26, bfs, 192, 2, 0.014483
graph500_26, bfs, 192, 2, 0.011062
graph500_26, bfs, 192, 2, 0.010537
graph500_26, bfs, 192, 2, 0.01206
graph500_26, bfs, 192, 2, 0.010539
graph500_26, bfs, 192, 2, 0.011946
graph500_26, bfs, 192, 2, 0.015029
graph500_26, bfs, 192, 2, 0.011582
graph500_26, bfs, 192, 2, 0.010961
graph500_26, bfs, 192, 2, 0.011545
graph500_26, bfs, 192, 2, 0.011021
graph500_26, bfs, 192, 2, 0.012308
