dataset_name, benchmark_name, cores, threads, time(s)
graph500_28, cc, 192, 2, 2.838199
graph500_28, cc, 192, 2, 0.694444
graph500_28, cc, 192, 2, 0.659425
graph500_28, cc, 192, 2, 0.654041
graph500_28, cc, 192, 2, 0.635076
graph500_28, cc, 192, 2, 0.625006
graph500_28, cc, 192, 2, 2.817157
graph500_28, cc, 192, 2, 0.715218
graph500_28, cc, 192, 2, 0.668279
graph500_28, cc, 192, 2, 0.64464
graph500_28, cc, 192, 2, 0.627055
graph500_28, cc, 192, 2, 0.622164
graph500_28, cc, 192, 2, 2.8392
graph500_28, cc, 192, 2, 0.67213
graph500_28, cc, 192, 2, 0.671582
graph500_28, cc, 192, 2, 0.643309
graph500_28, cc, 192, 2, 0.62444
graph500_28, cc, 192, 2, 0.620466
graph500_28, cc, 192, 2, 2.752408
graph500_28, cc, 192, 2, 0.661278
graph500_28, cc, 192, 2, 0.656174
graph500_28, cc, 192, 2, 0.64198
graph500_28, cc, 192, 2, 0.657196
graph500_28, cc, 192, 2, 0.624808
graph500_28, cc, 192, 2, 2.766518
graph500_28, cc, 192, 2, 0.718343
graph500_28, cc, 192, 2, 0.665547
graph500_28, cc, 192, 2, 0.620597
graph500_28, cc, 192, 2, 0.627549
graph500_28, cc, 192, 2, 0.62634
graph500_28, cc, 192, 2, 2.810659
graph500_28, cc, 192, 2, 0.696586
graph500_28, cc, 192, 2, 0.637039
graph500_28, cc, 192, 2, 0.622873
graph500_28, cc, 192, 2, 0.628766
graph500_28, cc, 192, 2, 0.61529
graph500_28, cc, 192, 2, 2.82782
graph500_28, cc, 192, 2, 0.688221
graph500_28, cc, 192, 2, 0.661539
graph500_28, cc, 192, 2, 0.644841
graph500_28, cc, 192, 2, 0.631102
graph500_28, cc, 192, 2, 0.627728
graph500_28, cc, 192, 2, 2.673993
graph500_28, cc, 192, 2, 0.705099
graph500_28, cc, 192, 2, 0.686158
graph500_28, cc, 192, 2, 0.65274
graph500_28, cc, 192, 2, 0.621865
graph500_28, cc, 192, 2, 0.628616
graph500_28, cc, 192, 2, 2.876092
graph500_28, cc, 192, 2, 0.72008
graph500_28, cc, 192, 2, 0.651317
graph500_28, cc, 192, 2, 0.631647
graph500_28, cc, 192, 2, 0.620464
graph500_28, cc, 192, 2, 0.631778
graph500_28, cc, 192, 2, 2.826991
graph500_28, cc, 192, 2, 0.723143
graph500_28, cc, 192, 2, 0.668874
graph500_28, cc, 192, 2, 0.643407
graph500_28, cc, 192, 2, 0.642551
graph500_28, cc, 192, 2, 0.629564
graph500_28, cc, 192, 2, 2.862977
graph500_28, cc, 192, 2, 0.673629
graph500_28, cc, 192, 2, 0.652895
graph500_28, cc, 192, 2, 0.67037
graph500_28, cc, 192, 2, 0.642089
