dataset_name, benchmark_name, cores, threads, time(s)
graph500_28, pagerank, 192, 2, 8.239096
graph500_28, pagerank, 192, 2, 4.598481
graph500_28, pagerank, 192, 2, 4.609646
graph500_28, pagerank, 192, 2, 4.624629
graph500_28, pagerank, 192, 2, 4.636657
graph500_28, pagerank, 192, 2, 4.661477
graph500_28, pagerank, 192, 2, 8.207015
graph500_28, pagerank, 192, 2, 4.651618
graph500_28, pagerank, 192, 2, 4.614024
graph500_28, pagerank, 192, 2, 4.656414
graph500_28, pagerank, 192, 2, 4.64428
graph500_28, pagerank, 192, 2, 4.62922
graph500_28, pagerank, 192, 2, 8.199633
graph500_28, pagerank, 192, 2, 4.57575
graph500_28, pagerank, 192, 2, 4.546411
graph500_28, pagerank, 192, 2, 4.55556
graph500_28, pagerank, 192, 2, 4.599408
graph500_28, pagerank, 192, 2, 4.587655
graph500_28, pagerank, 192, 2, 8.16035
graph500_28, pagerank, 192, 2, 4.676054
graph500_28, pagerank, 192, 2, 4.5745
graph500_28, pagerank, 192, 2, 4.510813
graph500_28, pagerank, 192, 2, 4.55266
graph500_28, pagerank, 192, 2, 4.662973
graph500_28, pagerank, 192, 2, 8.279752
graph500_28, pagerank, 192, 2, 4.551394
graph500_28, pagerank, 192, 2, 4.553701
graph500_28, pagerank, 192, 2, 4.613485
graph500_28, pagerank, 192, 2, 4.669179
graph500_28, pagerank, 192, 2, 4.664421
graph500_28, pagerank, 192, 2, 8.160793
graph500_28, pagerank, 192, 2, 4.612256
graph500_28, pagerank, 192, 2, 4.619916
graph500_28, pagerank, 192, 2, 4.58632
graph500_28, pagerank, 192, 2, 4.642364
graph500_28, pagerank, 192, 2, 4.637451
graph500_28, pagerank, 192, 2, 8.243142
graph500_28, pagerank, 192, 2, 4.563157
graph500_28, pagerank, 192, 2, 4.561468
graph500_28, pagerank, 192, 2, 4.576881
graph500_28, pagerank, 192, 2, 4.562951
graph500_28, pagerank, 192, 2, 4.621727
graph500_28, pagerank, 192, 2, 8.249786
graph500_28, pagerank, 192, 2, 4.678835
graph500_28, pagerank, 192, 2, 4.749987
graph500_28, pagerank, 192, 2, 4.640501
graph500_28, pagerank, 192, 2, 4.637462
graph500_28, pagerank, 192, 2, 4.607037
graph500_28, pagerank, 192, 2, 8.205535
graph500_28, pagerank, 192, 2, 4.599696
graph500_28, pagerank, 192, 2, 4.632718
graph500_28, pagerank, 192, 2, 4.614859
graph500_28, pagerank, 192, 2, 4.628253
graph500_28, pagerank, 192, 2, 4.623276
graph500_28, pagerank, 192, 2, 8.264241
graph500_28, pagerank, 192, 2, 4.558359
graph500_28, pagerank, 192, 2, 4.638453
graph500_28, pagerank, 192, 2, 4.606559
graph500_28, pagerank, 192, 2, 4.668087
graph500_28, pagerank, 192, 2, 4.653572
graph500_28, pagerank, 192, 2, 8.333289
graph500_28, pagerank, 192, 2, 4.691087
graph500_28, pagerank, 192, 2, 4.629498
graph500_28, pagerank, 192, 2, 4.612434
graph500_28, pagerank, 192, 2, 4.593797
graph500_28, pagerank, 192, 2, 4.615378
graph500_28, pagerank, 192, 2, 8.267101
graph500_28, pagerank, 192, 2, 4.622137
graph500_28, pagerank, 192, 2, 4.578611
graph500_28, pagerank, 192, 2, 4.659709
graph500_28, pagerank, 192, 2, 4.679902
graph500_28, pagerank, 192, 2, 4.632154
graph500_28, pagerank, 192, 2, 8.264607
graph500_28, pagerank, 192, 2, 4.567433
graph500_28, pagerank, 192, 2, 4.580471
graph500_28, pagerank, 192, 2, 4.579594
graph500_28, pagerank, 192, 2, 4.595152
graph500_28, pagerank, 192, 2, 4.587402
graph500_28, pagerank, 192, 2, 8.17926
graph500_28, pagerank, 192, 2, 4.595965
graph500_28, pagerank, 192, 2, 4.570328
graph500_28, pagerank, 192, 2, 4.620572
graph500_28, pagerank, 192, 2, 4.666219
graph500_28, pagerank, 192, 2, 4.649999
graph500_28, pagerank, 192, 2, 8.249849
graph500_28, pagerank, 192, 2, 4.593471
graph500_28, pagerank, 192, 2, 4.625515
graph500_28, pagerank, 192, 2, 4.570009
graph500_28, pagerank, 192, 2, 4.579352
graph500_28, pagerank, 192, 2, 4.554554
graph500_28, pagerank, 192, 2, 8.258395
graph500_28, pagerank, 192, 2, 4.59956
graph500_28, pagerank, 192, 2, 4.606889
graph500_28, pagerank, 192, 2, 4.611138
graph500_28, pagerank, 192, 2, 4.621969
graph500_28, pagerank, 192, 2, 4.625686
graph500_28, pagerank, 192, 2, 8.282242
graph500_28, pagerank, 192, 2, 4.734362
graph500_28, pagerank, 192, 2, 4.676643
graph500_28, pagerank, 192, 2, 4.68264
graph500_28, pagerank, 192, 2, 4.68605
graph500_28, pagerank, 192, 2, 4.740956
graph500_28, pagerank, 192, 2, 8.246171
graph500_28, pagerank, 192, 2, 4.556441
graph500_28, pagerank, 192, 2, 4.647021
graph500_28, pagerank, 192, 2, 4.622177
graph500_28, pagerank, 192, 2, 4.604935
graph500_28, pagerank, 192, 2, 4.658429
graph500_28, pagerank, 192, 2, 8.202327
graph500_28, pagerank, 192, 2, 4.64905
graph500_28, pagerank, 192, 2, 4.535532
graph500_28, pagerank, 192, 2, 4.615098
graph500_28, pagerank, 192, 2, 4.570377
graph500_28, pagerank, 192, 2, 4.679964
graph500_28, pagerank, 192, 2, 8.281645
graph500_28, pagerank, 192, 2, 4.573813
graph500_28, pagerank, 192, 2, 4.594744
graph500_28, pagerank, 192, 2, 4.619676
graph500_28, pagerank, 192, 2, 4.543773
graph500_28, pagerank, 192, 2, 4.544413
graph500_28, pagerank, 192, 2, 8.239782
