dataset_name, benchmark_name, cores, threads, time(s)
livejournal, bfs, 192, 2, 0.004377
livejournal, bfs, 192, 2, 0.002139
livejournal, bfs, 192, 2, 0.002148
livejournal, bfs, 192, 2, 0.002171
livejournal, bfs, 192, 2, 0.002254
livejournal, bfs, 192, 2, 0.002012
livejournal, bfs, 192, 2, 0.005377
livejournal, bfs, 192, 2, 0.003753
livejournal, bfs, 192, 2, 0.0038
livejournal, bfs, 192, 2, 0.003618
livejournal, bfs, 192, 2, 0.003775
livejournal, bfs, 192, 2, 0.003727
livejournal, bfs, 192, 2, 0.004671
livejournal, bfs, 192, 2, 0.002662
livejournal, bfs, 192, 2, 0.002815
livejournal, bfs, 192, 2, 0.002431
livejournal, bfs, 192, 2, 0.002626
livejournal, bfs, 192, 2, 0.002796
livejournal, bfs, 192, 2, 0.004428
livejournal, bfs, 192, 2, 0.002758
livejournal, bfs, 192, 2, 0.00282
livejournal, bfs, 192, 2, 0.002582
livejournal, bfs, 192, 2, 0.00277
livejournal, bfs, 192, 2, 0.002674
livejournal, bfs, 192, 2, 0.004571
livejournal, bfs, 192, 2, 0.002694
livejournal, bfs, 192, 2, 0.002501
livejournal, bfs, 192, 2, 0.002569
livejournal, bfs, 192, 2, 0.002827
livejournal, bfs, 192, 2, 0.002551
livejournal, bfs, 192, 2, 0.014748
livejournal, bfs, 192, 2, 0.002138
livejournal, bfs, 192, 2, 0.002187
livejournal, bfs, 192, 2, 0.001868
livejournal, bfs, 192, 2, 0.002228
livejournal, bfs, 192, 2, 0.002205
livejournal, bfs, 192, 2, 0.004754
livejournal, bfs, 192, 2, 0.002749
livejournal, bfs, 192, 2, 0.002585
livejournal, bfs, 192, 2, 0.002515
livejournal, bfs, 192, 2, 0.002732
livejournal, bfs, 192, 2, 0.002726
livejournal, bfs, 192, 2, 0.007909
livejournal, bfs, 192, 2, 0.00259
livejournal, bfs, 192, 2, 0.002728
livejournal, bfs, 192, 2, 0.002581
livejournal, bfs, 192, 2, 0.002686
livejournal, bfs, 192, 2, 0.002657
livejournal, bfs, 192, 2, 0.003873
livejournal, bfs, 192, 2, 0.002314
livejournal, bfs, 192, 2, 0.002019
livejournal, bfs, 192, 2, 0.002016
livejournal, bfs, 192, 2, 0.002176
livejournal, bfs, 192, 2, 0.002058
livejournal, bfs, 192, 2, 0.014896
livejournal, bfs, 192, 2, 0.00204
livejournal, bfs, 192, 2, 0.00228
livejournal, bfs, 192, 2, 0.001983
livejournal, bfs, 192, 2, 0.002134
livejournal, bfs, 192, 2, 0.002143
livejournal, bfs, 192, 2, 0.009097
livejournal, bfs, 192, 2, 0.003239
livejournal, bfs, 192, 2, 0.003438
livejournal, bfs, 192, 2, 0.003097
livejournal, bfs, 192, 2, 0.003255
livejournal, bfs, 192, 2, 0.003443
livejournal, bfs, 192, 2, 0.004596
livejournal, bfs, 192, 2, 0.002595
livejournal, bfs, 192, 2, 0.002696
livejournal, bfs, 192, 2, 0.002642
livejournal, bfs, 192, 2, 0.002713
livejournal, bfs, 192, 2, 0.00276
livejournal, bfs, 192, 2, 0.016631
livejournal, bfs, 192, 2, 0.003816
livejournal, bfs, 192, 2, 0.003945
livejournal, bfs, 192, 2, 0.003681
livejournal, bfs, 192, 2, 0.003988
livejournal, bfs, 192, 2, 0.003817
livejournal, bfs, 192, 2, 0.003928
livejournal, bfs, 192, 2, 0.002086
livejournal, bfs, 192, 2, 0.002152
livejournal, bfs, 192, 2, 0.001928
livejournal, bfs, 192, 2, 0.002151
livejournal, bfs, 192, 2, 0.002114
livejournal, bfs, 192, 2, 0.005079
livejournal, bfs, 192, 2, 0.003274
livejournal, bfs, 192, 2, 0.003415
livejournal, bfs, 192, 2, 0.003134
livejournal, bfs, 192, 2, 0.003214
livejournal, bfs, 192, 2, 0.003374
livejournal, bfs, 192, 2, 0.015383
livejournal, bfs, 192, 2, 0.002631
livejournal, bfs, 192, 2, 0.002604
livejournal, bfs, 192, 2, 0.002511
livejournal, bfs, 192, 2, 0.002706
livejournal, bfs, 192, 2, 0.002645
livejournal, bfs, 192, 2, 0.003777
livejournal, bfs, 192, 2, 0.002129
livejournal, bfs, 192, 2, 0.002096
livejournal, bfs, 192, 2, 0.002069
livejournal, bfs, 192, 2, 0.002091
livejournal, bfs, 192, 2, 0.002144
livejournal, bfs, 192, 2, 0.004617
livejournal, bfs, 192, 2, 0.00254
livejournal, bfs, 192, 2, 0.002729
livejournal, bfs, 192, 2, 0.002499
livejournal, bfs, 192, 2, 0.002736
livejournal, bfs, 192, 2, 0.002734
livejournal, bfs, 192, 2, 0.009966
livejournal, bfs, 192, 2, 0.002179
livejournal, bfs, 192, 2, 0.00208
livejournal, bfs, 192, 2, 0.002019
livejournal, bfs, 192, 2, 0.002148
livejournal, bfs, 192, 2, 0.002171
livejournal, bfs, 192, 2, 0.015574
livejournal, bfs, 192, 2, 0.002702
livejournal, bfs, 192, 2, 0.002694
livejournal, bfs, 192, 2, 0.002562
livejournal, bfs, 192, 2, 0.002742
livejournal, bfs, 192, 2, 0.002738
livejournal, bfs, 192, 2, 0.004189
