dataset_name, benchmark_name, cores, threads, time(s)
livejournal, pagerank, 192, 2, 0.558847
livejournal, pagerank, 192, 2, 0.38517
livejournal, pagerank, 192, 2, 0.397253
livejournal, pagerank, 192, 2, 0.364772
livejournal, pagerank, 192, 2, 0.410086
livejournal, pagerank, 192, 2, 0.394849
livejournal, pagerank, 192, 2, 0.522599
livejournal, pagerank, 192, 2, 0.372441
livejournal, pagerank, 192, 2, 0.361889
livejournal, pagerank, 192, 2, 0.37367
livejournal, pagerank, 192, 2, 0.384852
livejournal, pagerank, 192, 2, 0.387714
livejournal, pagerank, 192, 2, 0.52807
livejournal, pagerank, 192, 2, 0.369487
livejournal, pagerank, 192, 2, 0.371672
livejournal, pagerank, 192, 2, 0.384363
livejournal, pagerank, 192, 2, 0.370516
livejournal, pagerank, 192, 2, 0.376432
livejournal, pagerank, 192, 2, 0.519078
livejournal, pagerank, 192, 2, 0.47999
livejournal, pagerank, 192, 2, 0.403529
livejournal, pagerank, 192, 2, 0.397967
livejournal, pagerank, 192, 2, 0.400798
livejournal, pagerank, 192, 2, 0.385139
livejournal, pagerank, 192, 2, 0.524475
livejournal, pagerank, 192, 2, 0.368242
livejournal, pagerank, 192, 2, 0.37209
livejournal, pagerank, 192, 2, 0.376123
livejournal, pagerank, 192, 2, 0.376567
livejournal, pagerank, 192, 2, 0.397893
livejournal, pagerank, 192, 2, 0.521701
livejournal, pagerank, 192, 2, 0.372475
livejournal, pagerank, 192, 2, 0.386444
livejournal, pagerank, 192, 2, 0.363684
livejournal, pagerank, 192, 2, 0.372967
livejournal, pagerank, 192, 2, 0.373433
livejournal, pagerank, 192, 2, 0.516403
livejournal, pagerank, 192, 2, 0.383674
livejournal, pagerank, 192, 2, 0.380583
livejournal, pagerank, 192, 2, 0.374245
livejournal, pagerank, 192, 2, 0.370523
livejournal, pagerank, 192, 2, 0.364325
livejournal, pagerank, 192, 2, 0.517937
livejournal, pagerank, 192, 2, 0.36883
livejournal, pagerank, 192, 2, 0.3916
livejournal, pagerank, 192, 2, 0.372149
livejournal, pagerank, 192, 2, 0.365703
livejournal, pagerank, 192, 2, 0.388903
livejournal, pagerank, 192, 2, 0.530237
livejournal, pagerank, 192, 2, 0.363835
livejournal, pagerank, 192, 2, 0.389278
livejournal, pagerank, 192, 2, 0.384462
livejournal, pagerank, 192, 2, 0.391172
livejournal, pagerank, 192, 2, 0.404028
livejournal, pagerank, 192, 2, 0.533339
livejournal, pagerank, 192, 2, 0.366149
livejournal, pagerank, 192, 2, 0.376364
livejournal, pagerank, 192, 2, 0.379413
livejournal, pagerank, 192, 2, 0.378722
livejournal, pagerank, 192, 2, 0.370273
livejournal, pagerank, 192, 2, 0.536814
livejournal, pagerank, 192, 2, 0.384083
livejournal, pagerank, 192, 2, 0.384298
livejournal, pagerank, 192, 2, 0.365871
livejournal, pagerank, 192, 2, 0.380227
livejournal, pagerank, 192, 2, 0.379991
livejournal, pagerank, 192, 2, 0.514523
livejournal, pagerank, 192, 2, 0.382178
livejournal, pagerank, 192, 2, 0.381341
livejournal, pagerank, 192, 2, 0.382974
livejournal, pagerank, 192, 2, 0.380073
livejournal, pagerank, 192, 2, 0.389989
livejournal, pagerank, 192, 2, 0.693984
livejournal, pagerank, 192, 2, 0.376362
livejournal, pagerank, 192, 2, 0.458512
livejournal, pagerank, 192, 2, 0.37597
livejournal, pagerank, 192, 2, 0.369409
livejournal, pagerank, 192, 2, 0.386238
livejournal, pagerank, 192, 2, 0.521324
livejournal, pagerank, 192, 2, 0.370118
livejournal, pagerank, 192, 2, 0.372483
livejournal, pagerank, 192, 2, 0.432331
livejournal, pagerank, 192, 2, 0.367271
livejournal, pagerank, 192, 2, 0.373028
livejournal, pagerank, 192, 2, 0.524234
livejournal, pagerank, 192, 2, 0.375005
livejournal, pagerank, 192, 2, 0.377632
livejournal, pagerank, 192, 2, 0.373252
livejournal, pagerank, 192, 2, 0.38824
livejournal, pagerank, 192, 2, 0.377849
livejournal, pagerank, 192, 2, 0.512846
livejournal, pagerank, 192, 2, 0.379622
livejournal, pagerank, 192, 2, 0.377729
livejournal, pagerank, 192, 2, 0.373432
livejournal, pagerank, 192, 2, 0.392798
livejournal, pagerank, 192, 2, 0.387921
livejournal, pagerank, 192, 2, 0.513862
livejournal, pagerank, 192, 2, 0.372215
livejournal, pagerank, 192, 2, 0.384035
livejournal, pagerank, 192, 2, 0.364212
livejournal, pagerank, 192, 2, 0.384709
livejournal, pagerank, 192, 2, 0.384688
livejournal, pagerank, 192, 2, 0.521384
livejournal, pagerank, 192, 2, 0.374904
livejournal, pagerank, 192, 2, 0.369664
livejournal, pagerank, 192, 2, 0.394772
livejournal, pagerank, 192, 2, 0.384788
livejournal, pagerank, 192, 2, 0.388838
livejournal, pagerank, 192, 2, 0.535328
livejournal, pagerank, 192, 2, 0.439026
livejournal, pagerank, 192, 2, 0.36635
livejournal, pagerank, 192, 2, 0.370981
livejournal, pagerank, 192, 2, 0.401737
livejournal, pagerank, 192, 2, 0.360511
livejournal, pagerank, 192, 2, 0.523584
livejournal, pagerank, 192, 2, 0.38256
livejournal, pagerank, 192, 2, 0.386494
livejournal, pagerank, 192, 2, 0.383487
livejournal, pagerank, 192, 2, 0.386661
livejournal, pagerank, 192, 2, 0.387466
livejournal, pagerank, 192, 2, 0.515552
livejournal, pagerank, 192, 2, 0.37211
livejournal, pagerank, 192, 2, 0.447338
livejournal, pagerank, 192, 2, 0.365601
livejournal, pagerank, 192, 2, 0.415969
livejournal, pagerank, 192, 2, 0.378281
livejournal, pagerank, 192, 2, 0.526008
livejournal, pagerank, 192, 2, 0.361577
livejournal, pagerank, 192, 2, 0.383346
livejournal, pagerank, 192, 2, 0.391825
livejournal, pagerank, 192, 2, 0.38611
livejournal, pagerank, 192, 2, 0.384683
livejournal, pagerank, 192, 2, 0.520584
livejournal, pagerank, 192, 2, 0.368477
livejournal, pagerank, 192, 2, 0.410867
livejournal, pagerank, 192, 2, 0.385708
livejournal, pagerank, 192, 2, 0.415946
livejournal, pagerank, 192, 2, 0.366302
livejournal, pagerank, 192, 2, 0.523955
livejournal, pagerank, 192, 2, 0.371368
livejournal, pagerank, 192, 2, 0.399738
livejournal, pagerank, 192, 2, 0.378394
livejournal, pagerank, 192, 2, 0.377058
livejournal, pagerank, 192, 2, 0.388185
livejournal, pagerank, 192, 2, 0.528702
livejournal, pagerank, 192, 2, 0.382056
livejournal, pagerank, 192, 2, 0.390704
livejournal, pagerank, 192, 2, 0.375808
livejournal, pagerank, 192, 2, 0.395801
livejournal, pagerank, 192, 2, 0.400653
livejournal, pagerank, 192, 2, 0.546131
livejournal, pagerank, 192, 2, 0.406962
livejournal, pagerank, 192, 2, 0.395657
livejournal, pagerank, 192, 2, 0.394098
livejournal, pagerank, 192, 2, 0.408304
livejournal, pagerank, 192, 2, 0.372334
livejournal, pagerank, 192, 2, 0.534386
livejournal, pagerank, 192, 2, 0.373289
livejournal, pagerank, 192, 2, 0.534881
livejournal, pagerank, 192, 2, 0.375099
livejournal, pagerank, 192, 2, 0.375374
livejournal, pagerank, 192, 2, 0.369814
livejournal, pagerank, 192, 2, 0.523289
livejournal, pagerank, 192, 2, 0.363662
livejournal, pagerank, 192, 2, 0.369896
livejournal, pagerank, 192, 2, 0.372439
livejournal, pagerank, 192, 2, 0.366322
livejournal, pagerank, 192, 2, 0.380478
livejournal, pagerank, 192, 2, 0.527866
livejournal, pagerank, 192, 2, 0.367378
livejournal, pagerank, 192, 2, 0.384687
livejournal, pagerank, 192, 2, 0.391969
livejournal, pagerank, 192, 2, 0.365131
livejournal, pagerank, 192, 2, 0.369847
livejournal, pagerank, 192, 2, 0.548812
livejournal, pagerank, 192, 2, 0.372027
livejournal, pagerank, 192, 2, 0.360871
livejournal, pagerank, 192, 2, 0.390215
livejournal, pagerank, 192, 2, 0.375101
livejournal, pagerank, 192, 2, 0.370663
livejournal, pagerank, 192, 2, 0.512972
livejournal, pagerank, 192, 2, 0.384853
livejournal, pagerank, 192, 2, 0.370721
