dataset_name, benchmark_name, cores, threads, time(s)
livejournal, sssp, 192, 2, 0.005485
livejournal, sssp, 192, 2, 0.003315
livejournal, sssp, 192, 2, 0.002984
livejournal, sssp, 192, 2, 0.002978
livejournal, sssp, 192, 2, 0.003021
livejournal, sssp, 192, 2, 0.003013
livejournal, sssp, 192, 2, 0.003859
livejournal, sssp, 192, 2, 0.002383
livejournal, sssp, 192, 2, 0.002168
livejournal, sssp, 192, 2, 0.001993
livejournal, sssp, 192, 2, 0.002007
livejournal, sssp, 192, 2, 0.002469
livejournal, sssp, 192, 2, 0.014405
livejournal, sssp, 192, 2, 0.00228
livejournal, sssp, 192, 2, 0.00206
livejournal, sssp, 192, 2, 0.002209
livejournal, sssp, 192, 2, 0.002135
livejournal, sssp, 192, 2, 0.002105
livejournal, sssp, 192, 2, 0.003888
livejournal, sssp, 192, 2, 0.002416
livejournal, sssp, 192, 2, 0.002137
livejournal, sssp, 192, 2, 0.001962
livejournal, sssp, 192, 2, 0.002147
livejournal, sssp, 192, 2, 0.002076
livejournal, sssp, 192, 2, 0.006031
livejournal, sssp, 192, 2, 0.002329
livejournal, sssp, 192, 2, 0.001994
livejournal, sssp, 192, 2, 0.002009
livejournal, sssp, 192, 2, 0.002146
livejournal, sssp, 192, 2, 0.002192
livejournal, sssp, 192, 2, 0.003492
livejournal, sssp, 192, 2, 0.002541
livejournal, sssp, 192, 2, 0.002024
livejournal, sssp, 192, 2, 0.002092
livejournal, sssp, 192, 2, 0.002167
livejournal, sssp, 192, 2, 0.00207
livejournal, sssp, 192, 2, 0.003823
livejournal, sssp, 192, 2, 0.003073
livejournal, sssp, 192, 2, 0.002663
livejournal, sssp, 192, 2, 0.002784
livejournal, sssp, 192, 2, 0.002566
livejournal, sssp, 192, 2, 0.002872
livejournal, sssp, 192, 2, 0.003252
livejournal, sssp, 192, 2, 0.002316
livejournal, sssp, 192, 2, 0.002211
livejournal, sssp, 192, 2, 0.001972
livejournal, sssp, 192, 2, 0.002234
livejournal, sssp, 192, 2, 0.002227
livejournal, sssp, 192, 2, 0.003218
livejournal, sssp, 192, 2, 0.002175
livejournal, sssp, 192, 2, 0.002243
livejournal, sssp, 192, 2, 0.001951
livejournal, sssp, 192, 2, 0.002281
livejournal, sssp, 192, 2, 0.002134
livejournal, sssp, 192, 2, 0.006625
livejournal, sssp, 192, 2, 0.00238
livejournal, sssp, 192, 2, 0.002142
livejournal, sssp, 192, 2, 0.002288
livejournal, sssp, 192, 2, 0.002156
livejournal, sssp, 192, 2, 0.0021
livejournal, sssp, 192, 2, 0.007293
livejournal, sssp, 192, 2, 0.002249
livejournal, sssp, 192, 2, 0.002185
livejournal, sssp, 192, 2, 0.001914
livejournal, sssp, 192, 2, 0.002182
livejournal, sssp, 192, 2, 0.002034
livejournal, sssp, 192, 2, 0.014519
livejournal, sssp, 192, 2, 0.002036
livejournal, sssp, 192, 2, 0.002065
livejournal, sssp, 192, 2, 0.001928
livejournal, sssp, 192, 2, 0.002069
livejournal, sssp, 192, 2, 0.00206
livejournal, sssp, 192, 2, 0.003822
livejournal, sssp, 192, 2, 0.00281
livejournal, sssp, 192, 2, 0.002787
livejournal, sssp, 192, 2, 0.002348
livejournal, sssp, 192, 2, 0.002912
livejournal, sssp, 192, 2, 0.002585
livejournal, sssp, 192, 2, 0.003838
livejournal, sssp, 192, 2, 0.002726
livejournal, sssp, 192, 2, 0.002482
livejournal, sssp, 192, 2, 0.002507
livejournal, sssp, 192, 2, 0.002702
livejournal, sssp, 192, 2, 0.002441
livejournal, sssp, 192, 2, 0.00389
livejournal, sssp, 192, 2, 0.002149
livejournal, sssp, 192, 2, 0.002539
livejournal, sssp, 192, 2, 0.001949
livejournal, sssp, 192, 2, 0.002215
livejournal, sssp, 192, 2, 0.002133
livejournal, sssp, 192, 2, 0.003438
livejournal, sssp, 192, 2, 0.002398
livejournal, sssp, 192, 2, 0.00218
livejournal, sssp, 192, 2, 0.002027
livejournal, sssp, 192, 2, 0.002129
livejournal, sssp, 192, 2, 0.002449
livejournal, sssp, 192, 2, 0.003646
livejournal, sssp, 192, 2, 0.002771
livejournal, sssp, 192, 2, 0.002574
livejournal, sssp, 192, 2, 0.00243
livejournal, sssp, 192, 2, 0.002828
livejournal, sssp, 192, 2, 0.002636
livejournal, sssp, 192, 2, 0.01498
livejournal, sssp, 192, 2, 0.002598
livejournal, sssp, 192, 2, 0.002566
livejournal, sssp, 192, 2, 0.002451
livejournal, sssp, 192, 2, 0.002587
livejournal, sssp, 192, 2, 0.002453
livejournal, sssp, 192, 2, 0.003725
livejournal, sssp, 192, 2, 0.00272
livejournal, sssp, 192, 2, 0.002455
livejournal, sssp, 192, 2, 0.002744
livejournal, sssp, 192, 2, 0.002659
livejournal, sssp, 192, 2, 0.002857
livejournal, sssp, 192, 2, 0.003281
livejournal, sssp, 192, 2, 0.002251
livejournal, sssp, 192, 2, 0.002127
livejournal, sssp, 192, 2, 0.002018
livejournal, sssp, 192, 2, 0.002197
livejournal, sssp, 192, 2, 0.00213
livejournal, sssp, 192, 2, 0.003648
livejournal, sssp, 192, 2, 0.002905
livejournal, sssp, 192, 2, 0.002752
livejournal, sssp, 192, 2, 0.002446
livejournal, sssp, 192, 2, 0.002817
livejournal, sssp, 192, 2, 0.00265
livejournal, sssp, 192, 2, 0.01006
livejournal, sssp, 192, 2, 0.002271
livejournal, sssp, 192, 2, 0.00215
livejournal, sssp, 192, 2, 0.00199
livejournal, sssp, 192, 2, 0.002362
livejournal, sssp, 192, 2, 0.001943
livejournal, sssp, 192, 2, 0.00375
livejournal, sssp, 192, 2, 0.002571
livejournal, sssp, 192, 2, 0.002666
livejournal, sssp, 192, 2, 0.002414
livejournal, sssp, 192, 2, 0.002584
livejournal, sssp, 192, 2, 0.002482
livejournal, sssp, 192, 2, 0.008714
livejournal, sssp, 192, 2, 0.003048
livejournal, sssp, 192, 2, 0.003293
livejournal, sssp, 192, 2, 0.002806
livejournal, sssp, 192, 2, 0.003168
