dataset_name, benchmark_name, cores, threads, time(s)
orkut, bfs, 192, 2, 0.00448
orkut, bfs, 192, 2, 0.002619
orkut, bfs, 192, 2, 0.002689
orkut, bfs, 192, 2, 0.002734
orkut, bfs, 192, 2, 0.002728
orkut, bfs, 192, 2, 0.002746
orkut, bfs, 192, 2, 0.003393
orkut, bfs, 192, 2, 0.001686
orkut, bfs, 192, 2, 0.00161
orkut, bfs, 192, 2, 0.001638
orkut, bfs, 192, 2, 0.001663
orkut, bfs, 192, 2, 0.001665
orkut, bfs, 192, 2, 0.005687
orkut, bfs, 192, 2, 0.003637
orkut, bfs, 192, 2, 0.003514
orkut, bfs, 192, 2, 0.003517
orkut, bfs, 192, 2, 0.003612
orkut, bfs, 192, 2, 0.003614
orkut, bfs, 192, 2, 0.003972
orkut, bfs, 192, 2, 0.002252
orkut, bfs, 192, 2, 0.002195
orkut, bfs, 192, 2, 0.0023
orkut, bfs, 192, 2, 0.002248
orkut, bfs, 192, 2, 0.002227
orkut, bfs, 192, 2, 0.003472
orkut, bfs, 192, 2, 0.001842
orkut, bfs, 192, 2, 0.001592
orkut, bfs, 192, 2, 0.001658
orkut, bfs, 192, 2, 0.001699
orkut, bfs, 192, 2, 0.00175
orkut, bfs, 192, 2, 0.00492
orkut, bfs, 192, 2, 0.00313
orkut, bfs, 192, 2, 0.004747
orkut, bfs, 192, 2, 0.005876
orkut, bfs, 192, 2, 0.003111
orkut, bfs, 192, 2, 0.003092
orkut, bfs, 192, 2, 0.004648
orkut, bfs, 192, 2, 0.002745
orkut, bfs, 192, 2, 0.004891
orkut, bfs, 192, 2, 0.004489
orkut, bfs, 192, 2, 0.005055
orkut, bfs, 192, 2, 0.002669
orkut, bfs, 192, 2, 0.00331
orkut, bfs, 192, 2, 0.001568
orkut, bfs, 192, 2, 0.001459
orkut, bfs, 192, 2, 0.001489
orkut, bfs, 192, 2, 0.001494
orkut, bfs, 192, 2, 0.001537
orkut, bfs, 192, 2, 0.003557
orkut, bfs, 192, 2, 0.001727
orkut, bfs, 192, 2, 0.001698
orkut, bfs, 192, 2, 0.001798
orkut, bfs, 192, 2, 0.00169
orkut, bfs, 192, 2, 0.00164
orkut, bfs, 192, 2, 0.00336
orkut, bfs, 192, 2, 0.001657
orkut, bfs, 192, 2, 0.001695
orkut, bfs, 192, 2, 0.001695
orkut, bfs, 192, 2, 0.011276
orkut, bfs, 192, 2, 0.001682
orkut, bfs, 192, 2, 0.004672
orkut, bfs, 192, 2, 0.002665
orkut, bfs, 192, 2, 0.002612
orkut, bfs, 192, 2, 0.002625
orkut, bfs, 192, 2, 0.002697
orkut, bfs, 192, 2, 0.002576
orkut, bfs, 192, 2, 0.003443
orkut, bfs, 192, 2, 0.001697
orkut, bfs, 192, 2, 0.00167
orkut, bfs, 192, 2, 0.001638
orkut, bfs, 192, 2, 0.001699
orkut, bfs, 192, 2, 0.00169
orkut, bfs, 192, 2, 0.007013
orkut, bfs, 192, 2, 0.004732
orkut, bfs, 192, 2, 0.004674
orkut, bfs, 192, 2, 0.004617
orkut, bfs, 192, 2, 0.004639
orkut, bfs, 192, 2, 0.004721
orkut, bfs, 192, 2, 0.003329
orkut, bfs, 192, 2, 0.001668
orkut, bfs, 192, 2, 0.002556
orkut, bfs, 192, 2, 0.001631
orkut, bfs, 192, 2, 0.001636
orkut, bfs, 192, 2, 0.001663
orkut, bfs, 192, 2, 0.003517
orkut, bfs, 192, 2, 0.001805
orkut, bfs, 192, 2, 0.001724
orkut, bfs, 192, 2, 0.003371
orkut, bfs, 192, 2, 0.003531
orkut, bfs, 192, 2, 0.003509
orkut, bfs, 192, 2, 0.003508
orkut, bfs, 192, 2, 0.001724
orkut, bfs, 192, 2, 0.001648
orkut, bfs, 192, 2, 0.001725
orkut, bfs, 192, 2, 0.001729
orkut, bfs, 192, 2, 0.001793
orkut, bfs, 192, 2, 0.004906
orkut, bfs, 192, 2, 0.002616
orkut, bfs, 192, 2, 0.002447
orkut, bfs, 192, 2, 0.002499
orkut, bfs, 192, 2, 0.002449
orkut, bfs, 192, 2, 0.002481
orkut, bfs, 192, 2, 0.005152
orkut, bfs, 192, 2, 0.001696
orkut, bfs, 192, 2, 0.003471
orkut, bfs, 192, 2, 0.003624
orkut, bfs, 192, 2, 0.003289
orkut, bfs, 192, 2, 0.003464
orkut, bfs, 192, 2, 0.004355
orkut, bfs, 192, 2, 0.001602
orkut, bfs, 192, 2, 0.001535
orkut, bfs, 192, 2, 0.001545
orkut, bfs, 192, 2, 0.001532
orkut, bfs, 192, 2, 0.001507
orkut, bfs, 192, 2, 0.005656
orkut, bfs, 192, 2, 0.003565
orkut, bfs, 192, 2, 0.003691
orkut, bfs, 192, 2, 0.003664
orkut, bfs, 192, 2, 0.003641
orkut, bfs, 192, 2, 0.003562
orkut, bfs, 192, 2, 0.003557
orkut, bfs, 192, 2, 0.001629
orkut, bfs, 192, 2, 0.001636
orkut, bfs, 192, 2, 0.001583
orkut, bfs, 192, 2, 0.001594
orkut, bfs, 192, 2, 0.001612
orkut, bfs, 192, 2, 0.011349
orkut, bfs, 192, 2, 0.00216
orkut, bfs, 192, 2, 0.002242
orkut, bfs, 192, 2, 0.002276
orkut, bfs, 192, 2, 0.002303
orkut, bfs, 192, 2, 0.00231
orkut, bfs, 192, 2, 0.00356
orkut, bfs, 192, 2, 0.00152
orkut, bfs, 192, 2, 0.001481
orkut, bfs, 192, 2, 0.001492
orkut, bfs, 192, 2, 0.001492
orkut, bfs, 192, 2, 0.001588
