dataset_name, benchmark_name, cores, threads, time(s)
orkut, pagerank, 192, 2, 0.394999
orkut, pagerank, 192, 2, 0.301033
orkut, pagerank, 192, 2, 0.305209
orkut, pagerank, 192, 2, 0.297717
orkut, pagerank, 192, 2, 0.298972
orkut, pagerank, 192, 2, 0.296868
orkut, pagerank, 192, 2, 0.397369
orkut, pagerank, 192, 2, 0.305568
orkut, pagerank, 192, 2, 0.307698
orkut, pagerank, 192, 2, 0.302738
orkut, pagerank, 192, 2, 0.308403
orkut, pagerank, 192, 2, 0.38317
orkut, pagerank, 192, 2, 0.413429
orkut, pagerank, 192, 2, 0.309478
orkut, pagerank, 192, 2, 0.308218
orkut, pagerank, 192, 2, 0.307873
orkut, pagerank, 192, 2, 0.304429
orkut, pagerank, 192, 2, 0.311231
orkut, pagerank, 192, 2, 0.394529
orkut, pagerank, 192, 2, 0.299211
orkut, pagerank, 192, 2, 0.323109
orkut, pagerank, 192, 2, 0.305322
orkut, pagerank, 192, 2, 0.363166
orkut, pagerank, 192, 2, 0.305069
orkut, pagerank, 192, 2, 0.406339
orkut, pagerank, 192, 2, 0.30451
orkut, pagerank, 192, 2, 0.308993
orkut, pagerank, 192, 2, 0.306239
orkut, pagerank, 192, 2, 0.302413
orkut, pagerank, 192, 2, 0.299404
orkut, pagerank, 192, 2, 0.424508
orkut, pagerank, 192, 2, 0.307504
orkut, pagerank, 192, 2, 0.309192
orkut, pagerank, 192, 2, 0.304368
orkut, pagerank, 192, 2, 0.305373
orkut, pagerank, 192, 2, 0.30504
orkut, pagerank, 192, 2, 0.413965
orkut, pagerank, 192, 2, 0.307152
orkut, pagerank, 192, 2, 0.313426
orkut, pagerank, 192, 2, 0.296987
orkut, pagerank, 192, 2, 0.332679
orkut, pagerank, 192, 2, 0.304813
orkut, pagerank, 192, 2, 0.401648
orkut, pagerank, 192, 2, 0.321513
orkut, pagerank, 192, 2, 0.306703
orkut, pagerank, 192, 2, 0.303746
orkut, pagerank, 192, 2, 0.304004
orkut, pagerank, 192, 2, 0.304588
orkut, pagerank, 192, 2, 0.394965
orkut, pagerank, 192, 2, 0.303114
orkut, pagerank, 192, 2, 0.314334
orkut, pagerank, 192, 2, 0.304697
orkut, pagerank, 192, 2, 0.307168
orkut, pagerank, 192, 2, 0.307608
orkut, pagerank, 192, 2, 0.392978
orkut, pagerank, 192, 2, 0.3098
orkut, pagerank, 192, 2, 0.311013
orkut, pagerank, 192, 2, 0.31489
orkut, pagerank, 192, 2, 0.309344
orkut, pagerank, 192, 2, 0.315823
orkut, pagerank, 192, 2, 0.39157
orkut, pagerank, 192, 2, 0.301038
orkut, pagerank, 192, 2, 0.309357
orkut, pagerank, 192, 2, 0.310682
orkut, pagerank, 192, 2, 0.314889
orkut, pagerank, 192, 2, 0.310065
