dataset_name, benchmark_name, cores, threads, time(s)
orkut, sssp, 192, 2, 0.003514
orkut, sssp, 192, 2, 0.001892
orkut, sssp, 192, 2, 0.001909
orkut, sssp, 192, 2, 0.002049
orkut, sssp, 192, 2, 0.002008
orkut, sssp, 192, 2, 0.001913
orkut, sssp, 192, 2, 0.003194
orkut, sssp, 192, 2, 0.002901
orkut, sssp, 192, 2, 0.003467
orkut, sssp, 192, 2, 0.003378
orkut, sssp, 192, 2, 0.003587
orkut, sssp, 192, 2, 0.003562
orkut, sssp, 192, 2, 0.017653
orkut, sssp, 192, 2, 0.001682
orkut, sssp, 192, 2, 0.001409
orkut, sssp, 192, 2, 0.001483
orkut, sssp, 192, 2, 0.001474
orkut, sssp, 192, 2, 0.001452
orkut, sssp, 192, 2, 0.004286
orkut, sssp, 192, 2, 0.002327
orkut, sssp, 192, 2, 0.002264
orkut, sssp, 192, 2, 0.002385
orkut, sssp, 192, 2, 0.002341
orkut, sssp, 192, 2, 0.00471
orkut, sssp, 192, 2, 0.003157
orkut, sssp, 192, 2, 0.001485
orkut, sssp, 192, 2, 0.001509
orkut, sssp, 192, 2, 0.001498
orkut, sssp, 192, 2, 0.001524
orkut, sssp, 192, 2, 0.001471
orkut, sssp, 192, 2, 0.003521
orkut, sssp, 192, 2, 0.001913
orkut, sssp, 192, 2, 0.001841
orkut, sssp, 192, 2, 0.001892
orkut, sssp, 192, 2, 0.001913
orkut, sssp, 192, 2, 0.001895
orkut, sssp, 192, 2, 0.008453
orkut, sssp, 192, 2, 0.001403
orkut, sssp, 192, 2, 0.001393
orkut, sssp, 192, 2, 0.001442
orkut, sssp, 192, 2, 0.001382
orkut, sssp, 192, 2, 0.001399
orkut, sssp, 192, 2, 0.00338
orkut, sssp, 192, 2, 0.001462
orkut, sssp, 192, 2, 0.001428
orkut, sssp, 192, 2, 0.001684
orkut, sssp, 192, 2, 0.001541
orkut, sssp, 192, 2, 0.003107
orkut, sssp, 192, 2, 0.014244
orkut, sssp, 192, 2, 0.001461
orkut, sssp, 192, 2, 0.001475
orkut, sssp, 192, 2, 0.001505
orkut, sssp, 192, 2, 0.00149
orkut, sssp, 192, 2, 0.001475
orkut, sssp, 192, 2, 0.006766
orkut, sssp, 192, 2, 0.00145
orkut, sssp, 192, 2, 0.001445
orkut, sssp, 192, 2, 0.00155
orkut, sssp, 192, 2, 0.001505
orkut, sssp, 192, 2, 0.001561
orkut, sssp, 192, 2, 0.014281
orkut, sssp, 192, 2, 0.001464
orkut, sssp, 192, 2, 0.001424
orkut, sssp, 192, 2, 0.001474
orkut, sssp, 192, 2, 0.001499
orkut, sssp, 192, 2, 0.001488
orkut, sssp, 192, 2, 0.004204
orkut, sssp, 192, 2, 0.002309
orkut, sssp, 192, 2, 0.002356
orkut, sssp, 192, 2, 0.002362
orkut, sssp, 192, 2, 0.002378
orkut, sssp, 192, 2, 0.002427
orkut, sssp, 192, 2, 0.008955
orkut, sssp, 192, 2, 0.001982
orkut, sssp, 192, 2, 0.001928
orkut, sssp, 192, 2, 0.001927
orkut, sssp, 192, 2, 0.001906
orkut, sssp, 192, 2, 0.001961
orkut, sssp, 192, 2, 0.007118
orkut, sssp, 192, 2, 0.003262
orkut, sssp, 192, 2, 0.003917
orkut, sssp, 192, 2, 0.004008
orkut, sssp, 192, 2, 0.004072
orkut, sssp, 192, 2, 0.004208
orkut, sssp, 192, 2, 0.003701
orkut, sssp, 192, 2, 0.001502
orkut, sssp, 192, 2, 0.001464
orkut, sssp, 192, 2, 0.001481
orkut, sssp, 192, 2, 0.001515
orkut, sssp, 192, 2, 0.001501
orkut, sssp, 192, 2, 0.003269
orkut, sssp, 192, 2, 0.001539
orkut, sssp, 192, 2, 0.001435
orkut, sssp, 192, 2, 0.001448
orkut, sssp, 192, 2, 0.001479
orkut, sssp, 192, 2, 0.001515
orkut, sssp, 192, 2, 0.020665
orkut, sssp, 192, 2, 0.002857
orkut, sssp, 192, 2, 0.001424
orkut, sssp, 192, 2, 0.003338
orkut, sssp, 192, 2, 0.003416
orkut, sssp, 192, 2, 0.00356
orkut, sssp, 192, 2, 0.003257
orkut, sssp, 192, 2, 0.001517
orkut, sssp, 192, 2, 0.001495
orkut, sssp, 192, 2, 0.001485
orkut, sssp, 192, 2, 0.001552
orkut, sssp, 192, 2, 0.001452
orkut, sssp, 192, 2, 0.006241
orkut, sssp, 192, 2, 0.001507
orkut, sssp, 192, 2, 0.001404
orkut, sssp, 192, 2, 0.001474
orkut, sssp, 192, 2, 0.001473
orkut, sssp, 192, 2, 0.001499
orkut, sssp, 192, 2, 0.003044
orkut, sssp, 192, 2, 0.001519
orkut, sssp, 192, 2, 0.001476
orkut, sssp, 192, 2, 0.001475
orkut, sssp, 192, 2, 0.001526
orkut, sssp, 192, 2, 0.001532
orkut, sssp, 192, 2, 0.009121
orkut, sssp, 192, 2, 0.00148
orkut, sssp, 192, 2, 0.001472
orkut, sssp, 192, 2, 0.001504
orkut, sssp, 192, 2, 0.001595
orkut, sssp, 192, 2, 0.001617
orkut, sssp, 192, 2, 0.003104
orkut, sssp, 192, 2, 0.001397
orkut, sssp, 192, 2, 0.001415
orkut, sssp, 192, 2, 0.00146
orkut, sssp, 192, 2, 0.001429
orkut, sssp, 192, 2, 0.001457
orkut, sssp, 192, 2, 0.010784
orkut, sssp, 192, 2, 0.004991
orkut, sssp, 192, 2, 0.004957
orkut, sssp, 192, 2, 0.005013
orkut, sssp, 192, 2, 0.005109
orkut, sssp, 192, 2, 0.005115
