dataset_name, benchmark_name, cores, threads, time(s)
road_usa, pagerank, 192, 2, 1.296507
road_usa, pagerank, 192, 2, 0.716275
road_usa, pagerank, 192, 2, 0.718555
road_usa, pagerank, 192, 2, 0.716113
road_usa, pagerank, 192, 2, 0.730709
road_usa, pagerank, 192, 2, 0.731685
road_usa, pagerank, 192, 2, 1.250513
road_usa, pagerank, 192, 2, 0.673434
road_usa, pagerank, 192, 2, 0.731288
road_usa, pagerank, 192, 2, 0.707131
road_usa, pagerank, 192, 2, 0.710435
road_usa, pagerank, 192, 2, 0.71219
road_usa, pagerank, 192, 2, 1.125997
road_usa, pagerank, 192, 2, 0.697102
road_usa, pagerank, 192, 2, 0.726845
road_usa, pagerank, 192, 2, 0.745416
road_usa, pagerank, 192, 2, 0.733899
road_usa, pagerank, 192, 2, 0.733626
road_usa, pagerank, 192, 2, 1.219402
road_usa, pagerank, 192, 2, 0.729566
road_usa, pagerank, 192, 2, 0.732139
road_usa, pagerank, 192, 2, 0.7234
road_usa, pagerank, 192, 2, 0.72007
road_usa, pagerank, 192, 2, 0.77289
road_usa, pagerank, 192, 2, 1.238575
road_usa, pagerank, 192, 2, 0.731854
road_usa, pagerank, 192, 2, 0.729127
road_usa, pagerank, 192, 2, 0.722932
road_usa, pagerank, 192, 2, 0.725484
road_usa, pagerank, 192, 2, 0.716522
road_usa, pagerank, 192, 2, 1.215552
road_usa, pagerank, 192, 2, 0.720182
road_usa, pagerank, 192, 2, 0.682056
road_usa, pagerank, 192, 2, 0.686433
road_usa, pagerank, 192, 2, 0.695388
road_usa, pagerank, 192, 2, 0.713881
road_usa, pagerank, 192, 2, 1.236792
road_usa, pagerank, 192, 2, 0.70053
road_usa, pagerank, 192, 2, 0.670932
road_usa, pagerank, 192, 2, 0.697565
road_usa, pagerank, 192, 2, 0.714048
road_usa, pagerank, 192, 2, 0.717357
road_usa, pagerank, 192, 2, 1.230345
road_usa, pagerank, 192, 2, 0.72275
road_usa, pagerank, 192, 2, 0.722001
road_usa, pagerank, 192, 2, 0.722023
road_usa, pagerank, 192, 2, 0.732538
road_usa, pagerank, 192, 2, 0.734562
road_usa, pagerank, 192, 2, 1.224945
road_usa, pagerank, 192, 2, 0.720179
road_usa, pagerank, 192, 2, 0.72269
road_usa, pagerank, 192, 2, 0.723493
road_usa, pagerank, 192, 2, 0.721402
road_usa, pagerank, 192, 2, 0.730115
road_usa, pagerank, 192, 2, 1.22497
road_usa, pagerank, 192, 2, 0.728753
road_usa, pagerank, 192, 2, 0.729797
road_usa, pagerank, 192, 2, 0.729326
road_usa, pagerank, 192, 2, 0.721609
road_usa, pagerank, 192, 2, 0.720518
road_usa, pagerank, 192, 2, 1.217006
road_usa, pagerank, 192, 2, 0.716864
road_usa, pagerank, 192, 2, 0.728652
road_usa, pagerank, 192, 2, 0.716915
road_usa, pagerank, 192, 2, 0.720114
road_usa, pagerank, 192, 2, 0.714224
road_usa, pagerank, 192, 2, 1.209663
road_usa, pagerank, 192, 2, 0.729546
road_usa, pagerank, 192, 2, 0.721483
road_usa, pagerank, 192, 2, 0.732397
road_usa, pagerank, 192, 2, 0.722799
road_usa, pagerank, 192, 2, 0.730603
road_usa, pagerank, 192, 2, 1.249209
road_usa, pagerank, 192, 2, 0.725297
road_usa, pagerank, 192, 2, 0.725061
road_usa, pagerank, 192, 2, 0.714522
road_usa, pagerank, 192, 2, 0.72999
road_usa, pagerank, 192, 2, 0.731836
road_usa, pagerank, 192, 2, 1.229088
road_usa, pagerank, 192, 2, 0.728502
road_usa, pagerank, 192, 2, 0.719699
road_usa, pagerank, 192, 2, 0.717514
road_usa, pagerank, 192, 2, 0.710193
road_usa, pagerank, 192, 2, 0.734021
road_usa, pagerank, 192, 2, 1.246913
road_usa, pagerank, 192, 2, 0.659378
road_usa, pagerank, 192, 2, 0.677675
road_usa, pagerank, 192, 2, 0.678319
road_usa, pagerank, 192, 2, 0.729647
road_usa, pagerank, 192, 2, 0.671555
road_usa, pagerank, 192, 2, 1.137994
road_usa, pagerank, 192, 2, 0.639553
road_usa, pagerank, 192, 2, 0.720028
road_usa, pagerank, 192, 2, 0.688104
road_usa, pagerank, 192, 2, 0.680264
road_usa, pagerank, 192, 2, 0.68349
road_usa, pagerank, 192, 2, 1.220633
road_usa, pagerank, 192, 2, 1.006554
road_usa, pagerank, 192, 2, 0.731145
road_usa, pagerank, 192, 2, 0.901536
road_usa, pagerank, 192, 2, 0.718268
road_usa, pagerank, 192, 2, 0.761369
road_usa, pagerank, 192, 2, 1.227008
road_usa, pagerank, 192, 2, 0.692767
road_usa, pagerank, 192, 2, 0.712573
road_usa, pagerank, 192, 2, 0.682863
road_usa, pagerank, 192, 2, 0.71615
road_usa, pagerank, 192, 2, 0.775967
road_usa, pagerank, 192, 2, 1.138319
road_usa, pagerank, 192, 2, 0.726799
road_usa, pagerank, 192, 2, 0.717333
road_usa, pagerank, 192, 2, 0.714677
road_usa, pagerank, 192, 2, 0.713457
road_usa, pagerank, 192, 2, 0.714673
road_usa, pagerank, 192, 2, 1.240632
road_usa, pagerank, 192, 2, 0.724955
road_usa, pagerank, 192, 2, 0.737253
road_usa, pagerank, 192, 2, 0.717885
road_usa, pagerank, 192, 2, 0.738419
road_usa, pagerank, 192, 2, 0.687739
road_usa, pagerank, 192, 2, 1.209533
road_usa, pagerank, 192, 2, 0.652426
road_usa, pagerank, 192, 2, 0.731675
road_usa, pagerank, 192, 2, 0.698116
road_usa, pagerank, 192, 2, 0.676354
road_usa, pagerank, 192, 2, 0.652151
road_usa, pagerank, 192, 2, 1.229504
road_usa, pagerank, 192, 2, 0.720913
road_usa, pagerank, 192, 2, 0.716076
road_usa, pagerank, 192, 2, 0.707448
road_usa, pagerank, 192, 2, 0.710713
road_usa, pagerank, 192, 2, 0.687641
road_usa, pagerank, 192, 2, 1.213934
road_usa, pagerank, 192, 2, 0.720907
road_usa, pagerank, 192, 2, 0.72133
road_usa, pagerank, 192, 2, 0.725356
road_usa, pagerank, 192, 2, 0.716262
road_usa, pagerank, 192, 2, 0.729534
road_usa, pagerank, 192, 2, 1.250691
road_usa, pagerank, 192, 2, 0.711594
road_usa, pagerank, 192, 2, 0.716463
road_usa, pagerank, 192, 2, 0.693123
road_usa, pagerank, 192, 2, 0.665526
road_usa, pagerank, 192, 2, 0.686057
road_usa, pagerank, 192, 2, 1.208756
road_usa, pagerank, 192, 2, 0.72127
road_usa, pagerank, 192, 2, 0.720872
road_usa, pagerank, 192, 2, 0.717213
road_usa, pagerank, 192, 2, 0.72584
road_usa, pagerank, 192, 2, 0.726067
road_usa, pagerank, 192, 2, 1.264876
road_usa, pagerank, 192, 2, 0.734289
road_usa, pagerank, 192, 2, 0.72423
road_usa, pagerank, 192, 2, 0.729778
road_usa, pagerank, 192, 2, 0.732691
road_usa, pagerank, 192, 2, 0.726552
road_usa, pagerank, 192, 2, 1.187866
road_usa, pagerank, 192, 2, 0.726358
road_usa, pagerank, 192, 2, 0.724965
road_usa, pagerank, 192, 2, 0.728428
road_usa, pagerank, 192, 2, 0.726907
road_usa, pagerank, 192, 2, 0.728912
road_usa, pagerank, 192, 2, 1.202457
road_usa, pagerank, 192, 2, 0.721751
